code,commercial_item_code,configuration_code,availability_status,amount,currency_code,notes
bigster_easy_package__bigster_expression_hybrid155_4x2_automatic,bigster_easy_package,bigster_expression_hybrid155_4x2_automatic,optional,2700,PLN,Official trim-level MY26 option or package price effective from 2026-07-03.
bigster_easy_package__bigster_expression_hybridg150_4x4_automatic,bigster_easy_package,bigster_expression_hybridg150_4x4_automatic,optional,2700,PLN,Official trim-level MY26 option or package price effective from 2026-07-03.
bigster_easy_package__bigster_expression_mildhybrid140_4x2_manual,bigster_easy_package,bigster_expression_mildhybrid140_4x2_manual,optional,2700,PLN,Official trim-level MY26 option or package price effective from 2026-07-03.
bigster_easy_package__bigster_expression_mildhybridg140_4x2_manual,bigster_easy_package,bigster_expression_mildhybridg140_4x2_manual,optional,2700,PLN,Official trim-level MY26 option or package price effective from 2026-07-03.
bigster_media_nav_live_option__bigster_expression_hybrid155_4x2_automatic,bigster_media_nav_live_option,bigster_expression_hybrid155_4x2_automatic,optional,2400,PLN,Official trim-level MY26 option or package price effective from 2026-07-03.
bigster_media_nav_live_option__bigster_expression_hybridg150_4x4_automatic,bigster_media_nav_live_option,bigster_expression_hybridg150_4x4_automatic,optional,2400,PLN,Official trim-level MY26 option or package price effective from 2026-07-03.
bigster_media_nav_live_option__bigster_expression_mildhybrid140_4x2_manual,bigster_media_nav_live_option,bigster_expression_mildhybrid140_4x2_manual,optional,2400,PLN,Official trim-level MY26 option or package price effective from 2026-07-03.
bigster_media_nav_live_option__bigster_expression_mildhybridg140_4x2_manual,bigster_media_nav_live_option,bigster_expression_mildhybridg140_4x2_manual,optional,2400,PLN,Official trim-level MY26 option or package price effective from 2026-07-03.
bigster_panoramic_roof_option__bigster_journey_hybrid155_4x2_automatic,bigster_panoramic_roof_option,bigster_journey_hybrid155_4x2_automatic,optional,4300,PLN,Official trim-level MY26 option or package price effective from 2026-07-03.
bigster_panoramic_roof_option__bigster_journey_hybridg150_4x4_automatic,bigster_panoramic_roof_option,bigster_journey_hybridg150_4x4_automatic,optional,4300,PLN,Official trim-level MY26 option or package price effective from 2026-07-03.
bigster_panoramic_roof_option__bigster_journey_mildhybrid140_4x2_manual,bigster_panoramic_roof_option,bigster_journey_mildhybrid140_4x2_manual,optional,4300,PLN,Official trim-level MY26 option or package price effective from 2026-07-03.
bigster_panoramic_roof_option__bigster_journey_mildhybridg140_4x2_manual,bigster_panoramic_roof_option,bigster_journey_mildhybridg140_4x2_manual,optional,4300,PLN,Official trim-level MY26 option or package price effective from 2026-07-03.
bigster_parking_package__bigster_extreme_hybrid155_4x2_automatic,bigster_parking_package,bigster_extreme_hybrid155_4x2_automatic,optional,2200,PLN,Official trim-level MY26 option or package price effective from 2026-07-03.
bigster_parking_package__bigster_extreme_hybridg150_4x4_automatic,bigster_parking_package,bigster_extreme_hybridg150_4x4_automatic,optional,2200,PLN,Official trim-level MY26 option or package price effective from 2026-07-03.
bigster_parking_package__bigster_extreme_mildhybrid140_4x2_manual,bigster_parking_package,bigster_extreme_mildhybrid140_4x2_manual,optional,2200,PLN,Official trim-level MY26 option or package price effective from 2026-07-03.
bigster_parking_package__bigster_extreme_mildhybridg140_4x2_manual,bigster_parking_package,bigster_extreme_mildhybridg140_4x2_manual,optional,2200,PLN,Official trim-level MY26 option or package price effective from 2026-07-03.
bigster_parking_package__bigster_journey_hybrid155_4x2_automatic,bigster_parking_package,bigster_journey_hybrid155_4x2_automatic,optional,2200,PLN,Official trim-level MY26 option or package price effective from 2026-07-03.
