configuration_code,attribute_code,availability_status,source_page,source_label,normalization_notes
spring_essential_electric70_automatic,led_daytime_running_lights,standard,19,Automatycznie włączane światła dzienne LED,
spring_essential_electric70_automatic,traffic_sign_recognition,standard,19,System rozpoznawania znaków drogowych z ostrzeganiem o nadmiernej prędkości,
spring_essential_electric70_automatic,emergency_call_ecall,standard,19,Funkcja połączenia alarmowego (eCall),
spring_essential_electric70_automatic,anti_lock_braking_system,standard,19,System zapobiegający blokowaniu kół (ABS) + układ wspomagania nagłego hamowania (AFU) z sygnalizacją awaryjnego hamowania,The ABS capability is mapped separately from the AFU qualifier preserved in the source label.
spring_essential_electric70_automatic,automatic_emergency_braking,standard,19,"System wspomagania nagłego hamowania AEBS z funkcją wykrywania pieszych, rowerzystów i motocyklistów",
spring_essential_electric70_automatic,lane_departure_warning,standard,19,System kontroli pasa ruchu (LDW),
spring_essential_electric70_automatic,lane_keep_assist,standard,19,System utrzymania pasa ruchu (LKA),
spring_essential_electric70_automatic,driver_attention_monitoring,standard,19,System kontroli zmęczenia kierowcy,
spring_essential_electric70_automatic,my_safety_button,standard,19,Przycisk My Safety aktywacji / dezaktywacji systemów wspomagania prowadzenia,
spring_essential_electric70_automatic,rescue_code,standard,19,Kod QR „Rescue Code®” z przodu / z tyłu,
spring_essential_electric70_automatic,electronic_stability_control,standard,19,Układ kontroli toru jazdy (ESC) z funkcją wspomagania ruszania pod górę (HSA),The ESC capability is mapped separately; the HSA qualifier remains in the source label.
spring_essential_electric70_automatic,driver_front_airbag,standard,19,Czołowa poduszka powietrzna kierowcy,
spring_essential_electric70_automatic,passenger_front_airbag,standard,19,Czołowa poduszka powietrzna pasażera z możliwością dezaktywacji,Only passenger-front-airbag availability is imported; deactivation capability remains a source qualifier.
spring_essential_electric70_automatic,front_side_airbags,standard,19,Boczne poduszki powietrzne i poduszki kurtynowe,The combined source row is split into the canonical side-airbag and curtain-airbag capabilities.
spring_essential_electric70_automatic,curtain_airbags,standard,19,Boczne poduszki powietrzne i poduszki kurtynowe,The combined source row is split into the canonical side-airbag and curtain-airbag capabilities.
spring_essential_electric70_automatic,front_seat_belt_pretensioners,standard,19,Pasy bezpieczeństwa przednie i tylne z napinaczami pirotechnicznymi,The combined source row is split into front and rear pretensioner capabilities.
spring_essential_electric70_automatic,rear_seat_belt_pretensioners,standard,19,Pasy bezpieczeństwa przednie i tylne z napinaczami pirotechnicznymi,The combined source row is split into front and rear pretensioner capabilities.
spring_essential_electric70_automatic,tyre_pressure_monitoring_system,standard,19,System kontroli ciśnienia w oponach,
spring_essential_electric70_automatic,tyre_repair_kit,standard,19,Zestaw do pompowania kół,
spring_essential_electric70_automatic,isofix_rear,standard,19,System mocowania fotelików dziecięcych Isofix na tylnych siedzeniach,
spring_essential_electric70_automatic,instrument_cluster_colour_7,standard,19,"Cyfrowy, 7-calowy, konfigurowalny zespół zegarów i 13-funkcyjny komputer pokładowy",Uses the existing canonical 7-inch instrument-display capability; no separate scalar display value is created.
spring_essential_electric70_automatic,seat_belt_reminder,standard,19,Kontrolka i sygnał niezapięcia pasów bezpieczeństwa (przednich i tylnych),
spring_essential_electric70_automatic,eco_mode,standard,19,Tryb Eco,
spring_essential_electric70_automatic,cruise_control,standard,19,Regulator i ogranicznik prędkości,The combined source row is split into cruise-control and speed-limiter capabilities.
spring_essential_electric70_automatic,speed_limiter,standard,19,Regulator i ogranicznik prędkości,The combined source row is split into cruise-control and speed-limiter capabilities.
spring_essential_electric70_automatic,rear_parking_sensors,standard,19,Czujniki wspomagania parkowania tyłem,
spring_essential_electric70_automatic,front_parking_sensors,not_available,19,Czujniki wspomagania parkowania przodem,The Extreme option is package-qualified in the source; package membership is deferred.
