record_type,configuration_code,attribute_code,value,minimum_value,maximum_value,source_page,source_label,normalization_notes
value,spring_essential_electric70_automatic,electric_motor_power,52,,,18,Moc maksymalna w kW EWG / przy obrotach (obr./min),Exact powertrain-column value.
value,spring_essential_electric70_automatic,acceleration_0_100,12.3,,,18,0-100 km/h (s),Exact powertrain-column value.
value,spring_essential_electric70_automatic,combined_range,222,,,18,Homologowany zasięg w cyklu mieszanym WLTP (km),Exact grade/powertrain footnote applicability preserved.
value,spring_essential_electric70_automatic,kerb_weight,995,,,18,Maksymalna masa własna samochodu gotowego do jazdy,Exact grade-footnote value.
value,spring_essential_electric70_automatic,maximum_payload,349,,,18,Ładowność,Exact grade-footnote value.
value,spring_essential_electric70_automatic,standard_tyre_specification,165/70 R14,,,18,Rozmiary opon,Exact grade/powertrain applicability preserved.
value,spring_essential_electric70_automatic,wheel_size,"14""",,,18,Obręcze kół,Exact grade-footnote value; Cargo-only applicability is excluded.
value,spring_essential_electric70_automatic,number_of_seats,4,,,8,4 komfortowe miejsca,Direct passenger-cabin statement; Cargo is not in configuration scope.
value,spring_essential_electric70_automatic,top_speed,125,,,18,Prędkość maksymalna (km/h),Direct powertrain-table value.
value,spring_essential_electric70_automatic,acceleration_0_50,4,,,18,0-50 km/h (s),Direct powertrain-table value.
value,spring_essential_electric70_automatic,turning_circle_wheel_track,9.63,,,18,Średnica zawracania kół (m) (zgodna z oficjalnym pomiarem),Direct common table value.
value,spring_essential_electric70_automatic,gross_vehicle_weight,1344,,,18,Dopuszczalna masa całkowita (DMC),Direct common table value.
value,spring_essential_electric70_automatic,boot_capacity,308,,,21,Minimalna pojemność bagażnika (norma ISO 3832) (litry),Passenger Spring only; Cargo-specific 1085 L remains excluded.
value,spring_essential_electric70_automatic,maximum_cargo_volume_iso3832,1004,,,21,Maksymalna pojemność bagażnika za 1. rzędem siedzeń przy złożonych tylnych siedzeniach (norma ISO 3832) (litry),Direct passenger-Spring dimension-table value.
