id,code,name_pl,name_en,description
CAT001,models,Modele,Models,Modele samochodów Dacia
CAT002,versions,Wersje wyposażenia,Trim Levels,Wersje wyposażenia modeli
CAT003,engines,Silniki,Engines,Jednostki napędowe
CAT004,gearboxes,Skrzynie biegów,Gearboxes,Rodzaje skrzyń biegów
CAT005,body_types,Nadwozia,Body Types,Typy nadwozi
CAT006,segments,Segmenty,Segments,Segmenty pojazdów
CAT007,equipment,Wyposażenie,Equipment,Elementy wyposażenia seryjnego
CAT008,packages,Pakiety,Packages,Pakiety wyposażenia
CAT009,options,Opcje,Options,Wyposażenie opcjonalne
CAT010,colors,Kolory,Colors,Dostępne kolory nadwozia i wnętrza
CAT011,technical,Dane techniczne,Technical Data,Parametry techniczne
CAT012,maintenance,Serwis,Maintenance,Czynności serwisowe i harmonogramy
CAT013,issues,Typowe usterki,Known Issues,Najczęściej spotykane problemy
CAT014,recommendations,Rekomendacje,Recommendations,Zalecenia dotyczące wyboru i eksploatacji
CAT015,sources,Źródła,Sources,Źródła danych wykorzystanych w projekcie
