configuration_code,model_id,grade,powertrain,transmission,choice_type,choice_name,price_pln,selected,source_url,scope
sandero_iii_essential_tce100_manual,sandero,essential,TCe 100,manual,colour,biel alpejska,0,true,https://www.dacia.pl/samochody/sandero-miejskie/konfigurator.html,exact_current_default_configurator
sandero_iii_essential_tce100_manual,sandero,essential,TCe 100,manual,colour,niebieski iron,2500,false,https://www.dacia.pl/samochody/sandero-miejskie/konfigurator.html,exact_current_default_configurator
sandero_iii_essential_tce100_manual,sandero,essential,TCe 100,manual,colour,szary schiste,2500,false,https://www.dacia.pl/samochody/sandero-miejskie/konfigurator.html,exact_current_default_configurator
sandero_iii_essential_tce100_manual,sandero,essential,TCe 100,manual,wheel,"15"" felgi stalowe ELMA",0,true,https://www.dacia.pl/samochody/sandero-miejskie/konfigurator.html,exact_current_default_configurator
sandero_iii_essential_tce100_manual,sandero,essential,TCe 100,manual,upholstery,tapicerka materiałowa w kolorze czarnym i wstawkami denim,0,true,https://www.dacia.pl/samochody/sandero-miejskie/konfigurator.html,exact_current_default_configurator
sandero_stepway_iii_essential_tce110_manual,sandero_stepway,stepway essential,TCe 110,manual,colour,biel alpejska,0,true,https://www.dacia.pl/samochody/sandero-stepway-crossover/konfigurator.html,exact_current_default_configurator
sandero_stepway_iii_essential_tce110_manual,sandero_stepway,stepway essential,TCe 110,manual,colour,szary schiste,2500,false,https://www.dacia.pl/samochody/sandero-stepway-crossover/konfigurator.html,exact_current_default_configurator
sandero_stepway_iii_essential_tce110_manual,sandero_stepway,stepway essential,TCe 110,manual,colour,czarna perła,2500,false,https://www.dacia.pl/samochody/sandero-stepway-crossover/konfigurator.html,exact_current_default_configurator
sandero_stepway_iii_essential_tce110_manual,sandero_stepway,stepway essential,TCe 110,manual,wheel,"16"" felgi stalowe ERALIA",0,true,https://www.dacia.pl/samochody/sandero-stepway-crossover/konfigurator.html,exact_current_default_configurator
sandero_stepway_iii_essential_tce110_manual,sandero_stepway,stepway essential,TCe 110,manual,upholstery,tapicerka materiałowa stepway,0,true,https://www.dacia.pl/samochody/sandero-stepway-crossover/konfigurator.html,exact_current_default_configurator
duster_iii_essential_ecog120_4x2_manual,duster,essential,Eco-G 120,manual,colour,biel alpejska,0,true,https://www.dacia.pl/hybrydy-i-elektryczne/duster-suv/konfigurator.html,exact_current_default_configurator
duster_iii_essential_ecog120_4x2_manual,duster,essential,Eco-G 120,manual,colour,szary schiste,2700,false,https://www.dacia.pl/hybrydy-i-elektryczne/duster-suv/konfigurator.html,exact_current_default_configurator
duster_iii_essential_ecog120_4x2_manual,duster,essential,Eco-G 120,manual,colour,khaki lichen,2700,false,https://www.dacia.pl/hybrydy-i-elektryczne/duster-suv/konfigurator.html,exact_current_default_configurator
duster_iii_essential_ecog120_4x2_manual,duster,essential,Eco-G 120,manual,wheel,"16"" felgi stalowe w kolorze czarnym",0,true,https://www.dacia.pl/hybrydy-i-elektryczne/duster-suv/konfigurator.html,exact_current_default_configurator
duster_iii_essential_ecog120_4x2_manual,duster,essential,Eco-G 120,manual,upholstery,tapicerka materiałowa essential,0,true,https://www.dacia.pl/hybrydy-i-elektryczne/duster-suv/konfigurator.html,exact_current_default_configurator
jogger_essential_5seat_ecog120_manual,jogger,essential,Eco-G 120,manual,colour,biel alpejska,0,true,https://www.dacia.pl/samochody/jogger-hybydowy/konfigurator.html,exact_current_default_configurator
jogger_essential_5seat_ecog120_manual,jogger,essential,Eco-G 120,manual,colour,szary schiste,2700,false,https://www.dacia.pl/samochody/jogger-hybydowy/konfigurator.html,exact_current_default_configurator
jogger_essential_5seat_ecog120_manual,jogger,essential,Eco-G 120,manual,colour,czarna perła,2700,false,https://www.dacia.pl/samochody/jogger-hybydowy/konfigurator.html,exact_current_default_configurator
jogger_essential_5seat_ecog120_manual,jogger,essential,Eco-G 120,manual,wheel,"16"" felgi stalowe",0,true,https://www.dacia.pl/samochody/jogger-hybydowy/konfigurator.html,exact_current_default_configurator
jogger_essential_5seat_ecog120_manual,jogger,essential,Eco-G 120,manual,upholstery,tapicerka materiałowa w kolorze czarnym i wstawkami denim,0,true,https://www.dacia.pl/samochody/jogger-hybydowy/konfigurator.html,exact_current_default_configurator
bigster_essential_mildhybridg140_4x2_manual,bigster,essential,mild hybrid-G 140,manual,colour,biel alpejska,0,true,https://www.dacia.pl/hybrydy-i-elektryczne/bigster-suv/konfigurator.html,exact_current_default_configurator
bigster_essential_mildhybridg140_4x2_manual,bigster,essential,mild hybrid-G 140,manual,colour,szary schiste,3000,false,https://www.dacia.pl/hybrydy-i-elektryczne/bigster-suv/konfigurator.html,exact_current_default_configurator
bigster_essential_mildhybridg140_4x2_manual,bigster,essential,mild hybrid-G 140,manual,colour,czarna perła,3000,false,https://www.dacia.pl/hybrydy-i-elektryczne/bigster-suv/konfigurator.html,exact_current_default_configurator
bigster_essential_mildhybridg140_4x2_manual,bigster,essential,mild hybrid-G 140,manual,wheel,"aluminiowe obręcze kół 17"" 215 TERGAN",0,true,https://www.dacia.pl/hybrydy-i-elektryczne/bigster-suv/konfigurator.html,exact_current_default_configurator
bigster_essential_mildhybridg140_4x2_manual,bigster,essential,mild hybrid-G 140,manual,upholstery,tapicerka materiałowa essential,0,true,https://www.dacia.pl/hybrydy-i-elektryczne/bigster-suv/konfigurator.html,exact_current_default_configurator
spring_essential_electric70_automatic,spring,essential,electric 70,automatic,colour,biel alpejska,0,true,https://www.dacia.pl/hybrydy-i-elektryczne/spring-miejski/konfigurator.html,exact_current_default_configurator
spring_essential_electric70_automatic,spring,essential,electric 70,automatic,colour,khaki lichen,2300,false,https://www.dacia.pl/hybrydy-i-elektryczne/spring-miejski/konfigurator.html,exact_current_default_configurator
spring_essential_electric70_automatic,spring,essential,electric 70,automatic,wheel,"14"" stalowe, Lea",0,true,https://www.dacia.pl/hybrydy-i-elektryczne/spring-miejski/konfigurator.html,exact_current_default_configurator
spring_essential_electric70_automatic,spring,essential,electric 70,automatic,upholstery,"tapicerka materiałowa ""Jean""",0,true,https://www.dacia.pl/hybrydy-i-elektryczne/spring-miejski/konfigurator.html,exact_current_default_configurator
