model,domain,status,evidence,source_set,gap_ids,note
SPR,COL,PV,BPS,SPX,"CAT-GAP-001,CAT-GAP-002",
SPR,WHL,PV,BPS,SPX,"CAT-GAP-001,CAT-GAP-003",
SPR,UPH,PV,BPS,SPX,"CAT-GAP-001,CAT-GAP-004",
SPR,STD,PECS,PEC,SPS,CAT-GAP-005,
SPR,OPT,PECS,PEC,SOP,"CAT-GAP-001,CAT-GAP-011",
SPR,PKG,PECS,PEC,SOP,"CAT-GAP-001,CAT-GAP-013",
SPR,ACC,PR,ACPS,ASPR,CAT-GAP-018,56-row 2024 list; 12 current concepts; 3 without verified references; rubber-mat references differ.
SAN,COL,PV,BSS,EXT,"CAT-GAP-001,CAT-GAP-002",
SAN,WHL,PV,BSS,EXT,"CAT-GAP-001,CAT-GAP-003",
SAN,UPH,PV,BSS,EXT,"CAT-GAP-001,CAT-GAP-004",No upholstery rows for this model in the current exterior brochure extract.
SAN,STD,CFS,CSO,STD,CAT-GAP-005,
SAN,OPT,SRNR,NSC,NOP,"CAT-GAP-001,CAT-GAP-009",
SAN,PKG,SRNR,NSC,NOP,"CAT-GAP-001,CAT-GAP-012",
SAN,ACC,PR,AHS,ASAN,CAT-GAP-016,104 historical 2022 rows; current status only for retrieved shop subset.
STP,COL,PV,BSS,EXT,"CAT-GAP-001,CAT-GAP-002",
STP,WHL,PV,BSS,EXT,"CAT-GAP-001,CAT-GAP-003",
STP,UPH,PV,BSS,EXT,"CAT-GAP-001,CAT-GAP-004",
STP,STD,CFS,CSO,STD,CAT-GAP-005,
STP,OPT,SRNR,NSC,NOP,"CAT-GAP-001,CAT-GAP-010",
STP,PKG,SRNR,NSC,NOP,"CAT-GAP-001,CAT-GAP-012",
STP,ACC,PR,AHS,ASTP,CAT-GAP-016,99 historical 2022 rows; current status only for retrieved shop subset.
JOG,COL,PV,BSS,EXT,"CAT-GAP-001,CAT-GAP-002,CAT-GAP-015",Brochure paint-finish footnotes are internally inconsistent.
JOG,WHL,PV,BSS,EXT,"CAT-GAP-001,CAT-GAP-003",
JOG,UPH,PV,BSS,EXT,"CAT-GAP-001,CAT-GAP-004",No upholstery rows for this model in the current exterior brochure extract.
JOG,STD,CFS,CSO,STD,CAT-GAP-005,
JOG,OPT,SRNR,NSC,NOP,"CAT-GAP-001,CAT-GAP-008",
JOG,PKG,SRNR,NSC,NOP,"CAT-GAP-001,CAT-GAP-012",
JOG,ACC,PR,AHPS,AJOG,CAT-GAP-017,98 historical 2022 rows; Polish catalogue not fully ingested; current Aero Cargo Box conflict.
DUS,COL,PV,BSS,EXT,"CAT-GAP-001,CAT-GAP-002",
DUS,WHL,PV,BSS,EXT,"CAT-GAP-001,CAT-GAP-003",
DUS,UPH,PV,BSS,EXT,"CAT-GAP-001,CAT-GAP-004",
DUS,STD,CFS,CSO,STD,CAT-GAP-005,
DUS,OPT,SRNR,NSC,NOP,"CAT-GAP-001,CAT-GAP-007",
DUS,PKG,SRNR,NSC,NOP,"CAT-GAP-001,CAT-GAP-012",
DUS,ACC,PR,ACS,ADUS,CAT-GAP-019,95 price-list rows and 103 catalogue rows; explicit cross-source conflicts retained.
BIG,COL,PV,BSS,EXT,"CAT-GAP-001,CAT-GAP-002",
BIG,WHL,PV,BSS,EXT,"CAT-GAP-001,CAT-GAP-003,CAT-GAP-014",Brochure Extreme 18-inch name unresolved; one selected saved state names TAGASAN and cannot be generalized.
BIG,UPH,PV,BSS,EXT,"CAT-GAP-001,CAT-GAP-004",
BIG,STD,CFS,CSO,STD,CAT-GAP-005,
BIG,OPT,SRNR,NSC,NOP,"CAT-GAP-001,CAT-GAP-006",
BIG,PKG,SRNR,NSC,NOP,"CAT-GAP-001,CAT-GAP-012",
BIG,ACC,PR,ACS,ABIG,CAT-GAP-020,94 price-list rows and 89 catalogue rows; explicit cross-source crosswalks retained.
