model_id,grade,paint_class,source_colour_name,price_variants_pln,availability_scope,powertrain_scope,identity_state,source_id
sandero,essential,metallic_or_special_nonmetallic,,2500,printed grade column,not distinguished by source table,class_only_named_mapping_unresolved,sandero_stepway_registered_current_price_list
sandero,expression,metallic_or_special_nonmetallic,,2500,printed grade column,not distinguished by source table,class_only_named_mapping_unresolved,sandero_stepway_registered_current_price_list
sandero,journey,metallic_or_special_nonmetallic,,2500,printed grade column,not distinguished by source table,class_only_named_mapping_unresolved,sandero_stepway_registered_current_price_list
sandero_stepway,essential,metallic_or_special_nonmetallic,,2500,printed grade column,not distinguished by source table,class_only_named_mapping_unresolved,sandero_stepway_registered_current_price_list
sandero_stepway,expression,metallic_or_special_nonmetallic,,2500|2700,printed grade column,not distinguished by source table,class_only_named_mapping_unresolved,sandero_stepway_registered_current_price_list
sandero_stepway,extreme,metallic_or_special_nonmetallic,,2500|2700,printed grade column,not distinguished by source table,class_only_named_mapping_unresolved,sandero_stepway_registered_current_price_list
duster,essential,metallic,,2700|2900,printed grade column,not distinguished by source table,class_only_named_mapping_unresolved,duster_registered_current_price_list
duster,essential,nonmetallic,Biel Alpejska,0,printed grade column,not distinguished by source table,exact_source_name_and_price,duster_registered_current_price_list
duster,essential,nonmetallic,Khaki Lichen,2700,printed grade column,not distinguished by source table,exact_source_name_and_price,duster_registered_current_price_list
duster,expression,metallic,,2700|2900,printed grade column,not distinguished by source table,class_only_named_mapping_unresolved,duster_registered_current_price_list
duster,expression,nonmetallic,Biel Alpejska,0,printed grade column,not distinguished by source table,exact_source_name_and_price,duster_registered_current_price_list
duster,expression,nonmetallic,Khaki Lichen,2700,printed grade column,not distinguished by source table,exact_source_name_and_price,duster_registered_current_price_list
duster,extreme,metallic,,2700|2900,printed grade column,not distinguished by source table,class_only_named_mapping_unresolved,duster_registered_current_price_list
duster,extreme,nonmetallic,Biel Alpejska,0,printed grade column,not distinguished by source table,exact_source_name_and_price,duster_registered_current_price_list
duster,extreme,nonmetallic,Khaki Lichen,2700,printed grade column,not distinguished by source table,exact_source_name_and_price,duster_registered_current_price_list
duster,journey,metallic,,2700|2900,printed grade column,not distinguished by source table,class_only_named_mapping_unresolved,duster_registered_current_price_list
duster,journey,nonmetallic,Biel Alpejska,0,printed grade column,not distinguished by source table,exact_source_name_and_price,duster_registered_current_price_list
duster,journey,nonmetallic,Khaki Lichen,2700,printed grade column,not distinguished by source table,exact_source_name_and_price,duster_registered_current_price_list
