category,subcategory,name,part_number,essential,expression,extreme,journey,notes
stylistyka,nadwozie,Pakiet dodatkowych stopni bocznych,7717276919,compatible,compatible,compatible,compatible,
stylistyka,nadwozie,Antena w kształcie płetwy rekina,8201755191,compatible,conditional_standard_equipment,conditional_standard_equipment,conditional_standard_equipment,(1) Standardowe wyposażenie w tej wersji.
stylistyka,nadwozie,Przednie i tylne chlapacze,7717301274,compatible,compatible,compatible,compatible,
stylistyka,kola,"Aluminiowe obręcze kół 17"" Tergan",403000562R,compatible,compatible,compatible,compatible,
stylistyka,kola,"Aluminiowe obręcze kół 17"" Tergan ze szlifem diamentowym",403000581R,compatible,compatible,compatible,compatible,
stylistyka,kola,"Aluminiowe obręcze kół 18"" Tagasan ze szlifem półdiamentowym",403001134R,compatible,compatible,compatible,compatible,
stylistyka,kola,"Aluminiowe obręcze kół 18"" Tagasan ze szlifem diamentowym",403005630R,compatible,compatible,compatible,compatible,
stylistyka,kola,"Aluminiowe obręcze kół 19"" Rasan ze szlifem diamentowym",403007509R,compatible,compatible,compatible,compatible,
stylistyka,kola,Kołpaczek Dacia Link - czarny błyszczący z miedzianymi detalami,403153411R,compatible,compatible,compatible,compatible,
stylistyka,kola,Kołpaczek Dacia Link - szczotkowana stal z czarnymi detalami,403156271R,compatible,compatible,compatible,compatible,
stylistyka,wnetrze,Nakładki na progi przednich drzwi Bigster,8201754424,compatible,compatible,compatible,compatible,
stylistyka,wnetrze,Podświetlane nakładki na progi przednich drzwi Bigster,8201754065,compatible,compatible,compatible,compatible,
komfort_i_ochrona,wnetrze,Przenośny tylny podłokietnik Dacia,7717276917,compatible,compatible,compatible,compatible,
komfort_i_ochrona,wnetrze,Wielofunkcyjny organizer mocowany do przedniego fotela,7717276918,compatible,compatible,compatible,compatible,
komfort_i_ochrona,wnetrze,Przenośny ekspres do kawy Handpresso,7711940552,compatible,compatible,compatible,compatible,
komfort_i_ochrona,wnetrze,Zestaw dla palących,8201375535,compatible,compatible,compatible,compatible,
komfort_i_ochrona,wnetrze,Wykładzina do bagażnika dwupoziomowego,849P74223R,conditional_4x4_only,compatible,compatible,compatible,(2) Kompatybilne tylko z wersją 4x4.
