category,subcategory,name,part_number,price_pln_vat_without_installation,installation_required
bezpieczenstwo,Bezpieczeństwo i sygnalizacja,"Zestaw bezpieczeństwa (kamizelka, trójkąt, apteczka)",7711780759,87,false
bezpieczenstwo,Bezpieczeństwo i sygnalizacja,Gaśnica 1 kg,7711943172,89,false
bezpieczenstwo,Bezpieczeństwo i sygnalizacja,Uchwyt mocowania gaśnicy,8201749664,143,false
bezpieczenstwo,Bezpieczeństwo i sygnalizacja,Autoalarm,8201752631,884,true
bezpieczenstwo,Bezpieczeństwo i sygnalizacja,Autoalarm,8201752633,861,true
bezpieczenstwo,Łańcuchy śniegowe,Łańcuchy śniegowe Standard - 9 mm - rozmiar 120 - R17,7711578473,451,false
bezpieczenstwo,Łańcuchy śniegowe,Łańcuchy śniegowe standardowe - R19,7711578474,451,false
bezpieczenstwo,Łańcuchy śniegowe,Łańcuchy śniegowe Premium Grip (R20),7711780260,2234,false
bezpieczenstwo,Łańcuchy śniegowe,Łańcuchy śniegowe Premium Grip - rozmiar 120,7711780263,2034,false
bezpieczenstwo,Łańcuchy śniegowe,Łańcuchy śniegowe Polaire Steel Grip - rozmiar 120,7711940854,2034,false
bezpieczenstwo,Łańcuchy śniegowe,Łańcuchy śniegowe Polaire Steel Grip - rozmiar 130,7711940856,2034,false
bezpieczenstwo,Wspomaganie parkowania,Wspomaganie parkowania przodem,8201749656,702,true
design,Felgi i akcesoria do kół,Aluminiowe obręcze kół 17 cali niediamentowane Tergan,403000562R,969,false
design,Felgi i akcesoria do kół,Aluminiowe obręcze kół 17 cali diamentowane Tergan,403000581R,900,false
design,Felgi i akcesoria do kół,Aluminiowe obręcze kół 18 cali półdiamentowane Tagasan,403001134R,1056,false
design,Felgi i akcesoria do kół,Aluminiowe obręcze kół 18 cali diamentowane Tagasan,403005630R,1029,false
design,Felgi i akcesoria do kół,Aluminiowe obręcze kół 19 cali diamentowane Rasan,403007509R,1823,true
design,Felgi i akcesoria do kół,Minikołpaczki Dacia Link w kolorze miedzianym z czarnymi błyszczącymi elementami,403153411R,49,false
design,Felgi i akcesoria do kół,Minikołpaczki Dacia Link w kolorze czarnym z elementami w kolorze szczotkowanej stali,403156271R,65,false
