category,subcategory,name,part_number,essential,expression,extreme,journey,notes
design,wyposazenie_zewnetrzne,Przednie i tylne chlapacze,7717301274,compatible,compatible,compatible,compatible,
design,wyposazenie_zewnetrzne,Antena w kształcie płetwy rekina,8201752695,compatible,compatible,compatible,compatible,
design,wyposazenie_zewnetrzne,Pakiet stopni,7717301408,compatible,compatible,compatible,compatible,
design,wyposazenie_zewnetrzne,Stopnie,764129229R,compatible,compatible,compatible,compatible,
design,wyposazenie_zewnetrzne,Wsporniki do mocowania stopni,768479973R,compatible,compatible,compatible,compatible,
design,obrecze_kol,Aluminiowe obręcze kół 17 cali Tergan częściowo diamentowane,403006743R,compatible,compatible,compatible,compatible,
design,obrecze_kol,Aluminiowe obręcze kół 17 cali Tergan diamentowane,403000581R,compatible,compatible,compatible,compatible,
design,obrecze_kol,Aluminiowe obręcze kół 18 cali Tagasan częściowo diamentowane,403001134R,compatible,compatible,compatible,compatible,
design,obrecze_kol,Aluminiowe obręcze kół 18 cali Tagasan diamentowane,403005630R,compatible,compatible,compatible,compatible,
design,obrecze_kol,Kołpaczek Dacia Link miedziany z czarnymi błyszczącymi elementami,403153411R,compatible,compatible,compatible,compatible,
design,obrecze_kol,Kołpaczek Dacia Link czarny ze szczotkowaną stalą,403156271R,compatible,compatible,compatible,compatible,
design,wyposazenie_wnetrza,Nakładki na progi przednich drzwi Duster,8201705543,compatible,compatible,compatible,compatible,
design,wyposazenie_wnetrza,Podświetlane nakładki na progi przednich drzwi Duster,8201715981,compatible,compatible,compatible,compatible,
komfort_i_bezpieczenstwo,akcesoria_do_szyb,Owiewki szyby przedniej,7717301407,compatible,compatible,compatible,compatible,
komfort_i_bezpieczenstwo,komfort_podrozowania,Wkładka ochronna na podłogę bagażnika - do wersji z podwójną podłogą,849P77880R,incompatible,incompatible,incompatible,compatible,
komfort_i_bezpieczenstwo,komfort_podrozowania,Wkładka ochronna na podłogę bagażnika - do wersji bez podwójnej podłogi,849P70348R,compatible,compatible,compatible,incompatible,
komfort_i_bezpieczenstwo,komfort_podrozowania,Modułowe zabezpieczenie bagażnika EasyFlex,749L04128R,compatible,compatible,compatible,compatible,
komfort_i_bezpieczenstwo,komfort_podrozowania,Wkładka ochronna na podłogę bagażnika - do wersji bez podwójnej podłogi,849042919R,compatible,compatible,conditional_standard_equipment,incompatible,(1) Część należy do seryjnego wyposażenia w Extreme.
komfort_i_bezpieczenstwo,komfort_podrozowania,Wkładka ochronna na podłogę bagażnika - do wersji z podwójną podłogą,749L02011R,incompatible,incompatible,incompatible,compatible,
komfort_i_bezpieczenstwo,komfort_podrozowania,Wielofunkcyjny pokrowiec ochronny do bagażnika i na siedzenia,7717301406,compatible,compatible,compatible,compatible,
komfort_i_bezpieczenstwo,komfort_podrozowania,"Lodówka przenośna 12 V / 220 V, 24 l",7711431405,compatible,compatible,compatible,compatible,
komfort_i_bezpieczenstwo,komfort_podrozowania,Przenośny ekspres do kawy Handpresso,7711940552,compatible,compatible,compatible,compatible,
