category,subcategory,name,part_number,price_pln_vat_without_installation,installation_required
bezpieczenstwo,bezpieczenstwo_i_sygnalizacja,"Zestaw bezpieczeństwa (kamizelka, trójkąt, apteczka)",7711780759,87,False
bezpieczenstwo,bezpieczenstwo_i_sygnalizacja,Wideorejestrator Nextbase 222,7711945185,940,False
bezpieczenstwo,bezpieczenstwo_i_sygnalizacja,Gaśnica,8201712928,89,False
bezpieczenstwo,bezpieczenstwo_i_sygnalizacja,Alarm,8201736825,1025,True
bezpieczenstwo,bezpieczenstwo_i_sygnalizacja,Uchwyt na gaśnicę,966015136R,87,True
bezpieczenstwo,foteliki_dzieciece,Fotelik dziecięcy Trifix i-Size,7711940744,1749,False
bezpieczenstwo,lancuchy_sniegowe,"Standardowe łańcuchy śniegowe o średnicy 9 mm, rozmiar 90 (205/55 R16)",7711578470,419,False
bezpieczenstwo,lancuchy_sniegowe,Opaski śniegowe - rozmiar 81 - 205/60 R16 96T i 92H,7711578653,369,False
bezpieczenstwo,lancuchy_sniegowe,"Łańcuchy śniegowe Premium 16"" - rozmiar 72 - 205/60 R16",7711943628,749,False
bezpieczenstwo,wspomaganie_parkowania,Kamera cofania,284422402R,929,True
bezpieczenstwo,wspomaganie_parkowania,Czujniki wspomagania parkowania przodem,8201734052,881,True
bezpieczenstwo,wspomaganie_parkowania,Czujniki wspomagania parkowania tyłem,8201734053,881,True
design,felgi_i_akcesoria_do_kol,Felgi aluminiowe 6.5 J 16 4 45 STW,403004026R,509,True
design,felgi_i_akcesoria_do_kol,"Kołpak 16"" FLEX PAE STW",403152742R,84,False
design,felgi_i_akcesoria_do_kol,Kołpaczek - szary na czarnym tle,403157062R,67,False
design,felgi_i_akcesoria_do_kol,Śruby antykradzieżowe do felg aluminiowych - 4 śruby,8201724187,145,False
design,wyglad_wnetrza,YouClip - etui na okulary,739M00386R,149,False
design,wyglad_wnetrza,Podświetlane listwy progowe przednie Jogger,7711948885,799,True
design,wyglad_wnetrza,Podłokietnik,877007206R,758,True
design,wyglad_zewnetrzny,Zestaw montażowy stopni bocznych,768478691R,639,True
design,wyglad_zewnetrzny,Antena w kształcie płetwy rekina,8201731020,378,True
design,wyglad_zewnetrzny,Owiewki szyb przednich bocznych,8201735559,327,True
design,wyglad_zewnetrzny,"Osłony boczne drzwi, przód i tył",8201737151,849,True
design,wyglad_zewnetrzny,Stopnie boczne,8201741626,1466,True
design,wyglad_zewnetrzny,Spojler na dachu,8201741648,1009,True
design,wyglad_zewnetrzny,Nakładki ochronne na krawędzie drzwi i boczne lusterka,8201743312,214,True
dla_profesjonalistow,ochrona_strefy_zaladunku,Osłona przestrzeni bagażowej dla wersji dostawczej,799229084R,2129,True
komfort_i_ochrona,akcesoria_do_ladowania,Konwerter 220 V,7711944194,829,True
komfort_i_ochrona,dywaniki,"Dywaniki tekstylne Premium, wersja 7 miejsc",749020312R,362,False
komfort_i_ochrona,dywaniki,"Dywaniki tekstylne Comfort, wersja 5 miejsc",749021705R,301.02,False
komfort_i_ochrona,dywaniki,"Dywaniki tekstylne Comfort, wersja 7 miejsc",749024530R,301.02,False
komfort_i_ochrona,dywaniki,"Dywaniki tekstylne Premium, wersja 5 miejsc",749029652R,362,False
komfort_i_ochrona,ochrona_karoserii,Pokrowiec ochronny na samochód,7711785081,679,False
komfort_i_ochrona,ochrona_karoserii,Listwy progowe przednie Jogger,7711948884,265,True
komfort_i_ochrona,ochrona_karoserii,Przednie lub tylne chlapacze,7717301274,111,False
komfort_i_ochrona,ochrona_karoserii,Przednie chlapacze,8201735531,123,True
komfort_i_ochrona,ochrona_karoserii,Listwa progu bagażnika Jogger,8201741606,239,False
komfort_i_ochrona,pokrowce,Pokrowce magazynowe do foteli 3. rzędu w modelu Jogger,7711949289,348,False
komfort_i_ochrona,wyposazenie_bagaznika,Gumowy wkład do bagażnika (wersja 7 miejsc),688107961R,269,False
komfort_i_ochrona,wyposazenie_bagaznika,Przegroda bagażnika,731504928R,1036,True
komfort_i_ochrona,wyposazenie_bagaznika,Krata oddzielająca dla wersji dostawczej,731508776R,2171,True
komfort_i_ochrona,wyposazenie_bagaznika,Organizer do bagażnika,7711940885,318,False
komfort_i_ochrona,wyposazenie_bagaznika,Pionowa siatka do przechowywania,7711945467,214,True
komfort_i_ochrona,wyposazenie_bagaznika,Wykładzina strefy bagażowej dla wersji dostawczej,792606154R,6899,True
komfort_i_ochrona,wyposazenie_bagaznika,Organizer do bagażnika,8201653542,125,False
komfort_i_ochrona,wyposazenie_bagaznika,Tekstylny wkład do bagażnika (wersja 5 miejsc),849048487R,265,False
komfort_i_ochrona,wyposazenie_bagaznika,Gumowy wkład do bagażnika (wersja 5 miejsc),849756861R,327,False
