category,subcategory,name,part_number,5_seat_essential,5_seat_expression,5_seat_extreme,7_seat_essential,7_seat_expression,7_seat_extreme,notes
design,exterior,Shark fin antenna,8201731020,compatible,compatible,incompatible,compatible,compatible,incompatible,
design,exterior,Side step pack,7711948922,compatible,compatible,compatible,compatible,compatible,compatible,
design,exterior,Roof spoiler,8201741648,compatible,compatible,compatible,compatible,compatible,compatible,
design,wheel_rims,White and glossy black Dacia Link centre cap,403153950R,compatible,compatible,compatible,compatible,compatible,compatible,
design,wheel_rims,Black and brushed steel Dacia Link centre cap,403156271R,compatible,compatible,compatible,compatible,compatible,compatible,
design,wheel_rims,"16"" Mahalia alloy wheel rim",403004026R,compatible,compatible,compatible,compatible,compatible,compatible,
design,wheel_rims,"16"" Dacia Saria wheel cap",403152742R,compatible,compatible,compatible,compatible,compatible,compatible,
design,wheel_rims,Anti-theft systems for alloy wheel rims - Set of 4 grey nuts,8201724187,compatible,compatible,compatible,compatible,compatible,compatible,
design,interior,Front Jogger door sills,7711948884,compatible,compatible,compatible,compatible,compatible,compatible,
design,interior,Front illuminated Jogger door sills,7711948885,compatible,compatible,compatible,compatible,compatible,compatible,
design,interior,Jogger boot sill,8201741606,compatible,compatible,compatible,compatible,compatible,compatible,
comfort_and_protection,windows,Clip-on front air deflectors,8201735559,compatible,compatible,compatible,compatible,compatible,compatible,
comfort_and_protection,windows,Sun visor - Side windows,7711948818,compatible,compatible,compatible,compatible,compatible,compatible,
comfort_and_protection,windows,Sun visor - Side windows + rear screen (pack),7711948820,compatible,compatible,compatible,compatible,compatible,compatible,
comfort_and_protection,on_board_experience,Front armrest with storage,877007206R,compatible,conditional,conditional,compatible,conditional,conditional,Conditional: compatible only with low consoles.
comfort_and_protection,on_board_experience,Multifunction cup-holder,7711945469,compatible,compatible,compatible,compatible,compatible,compatible,
comfort_and_protection,on_board_experience,Smoker's kit,8201375535,compatible,compatible,compatible,compatible,compatible,compatible,
comfort_and_protection,on_board_experience,Dacia hanger on headrest,8201705508,compatible,compatible,compatible,compatible,compatible,compatible,
comfort_and_protection,on_board_experience,Multifunction holder on headrest,7711785944,compatible,compatible,compatible,compatible,compatible,compatible,
comfort_and_protection,on_board_experience,Hanger on multifunction system (holder supplied),7711785946,compatible,compatible,compatible,compatible,compatible,compatible,
comfort_and_protection,on_board_experience,Hook on multifunction system (holder supplied),7711785945,compatible,compatible,compatible,compatible,compatible,compatible,
comfort_and_protection,on_board_experience,Rear shelf on multifunction system (holder sold separately),7711785947,compatible,compatible,compatible,compatible,compatible,compatible,
comfort_and_protection,on_board_experience,12V-220V cool box,7711431405,compatible,compatible,compatible,compatible,compatible,compatible,
comfort_and_protection,on_board_experience,12V-220V power converter,7711944194,compatible,compatible,compatible,compatible,compatible,compatible,
comfort_and_protection,on_board_experience,12V recessed cigarette lighter socket - full kit,7711944196,compatible,compatible,compatible,compatible,compatible,compatible,
comfort_and_protection,on_board_experience,12V extension,7711944195,compatible,compatible,compatible,compatible,compatible,compatible,
comfort_and_protection,interior_fittings,Horizontal boot storage net,7711945466,compatible,compatible,compatible,incompatible,incompatible,incompatible,
comfort_and_protection,interior_fittings,Vertical boot storage net,7711945467,compatible,compatible,compatible,compatible,compatible,compatible,
comfort_and_protection,interior_fittings,Dacia removable boot organiser,8201653542,compatible,compatible,compatible,compatible,compatible,compatible,
comfort_and_protection,interior_fittings,Compartmentalised boot storage box,7711940885,compatible,compatible,compatible,compatible,compatible,compatible,
comfort_and_protection,interior_fittings,Partition grille,731504928R,compatible,compatible,compatible,compatible,compatible,compatible,
comfort_and_protection,interior_fittings,EasyFlex modular boot protection for 5-seater version,688105569R,compatible,compatible,compatible,incompatible,incompatible,incompatible,
