position,price_list_ordinal,price_list_name,part_number,document_price_gross_pln,shop_name,source_url,price_capture_status,shop_catalogue_price_gross_pln,price_match,price_observation_route,checked_on,notes
1,5,"Łańcuchy śniegowe Standard 9mm, rozmiar 50",7711578466,387.10,"Łańcuchy śniegowe Standard 9mm, rozmiar 50",https://sklep.dacia.pl/akcesoria/szczegoly/7711578466,confirmed_card_price_not_captured,,,official_card_direct_bounded_retrieval,2026-08-07,"Exact official Polish Dacia Shop card remained resolvable, but the bounded retrieval did not expose a catalogue price; this is not a mismatch."
2,6,"Kołpak 15""",403152645R,173.00,"Kołpak 15""",https://sklep.dacia.pl/akcesoria/szczegoly/403152645R,confirmed_card_price_not_captured,,,official_card_direct_bounded_retrieval,2026-08-07,"Exact official Polish Dacia Shop card remained resolvable, but the bounded retrieval did not expose a catalogue price; this is not a mismatch."
3,7,"Kołpak 14""",403152884R,169.00,"Kołpak 14""",https://sklep.dacia.pl/akcesoria/szczegoly/403152884R,confirmed_card_price_not_captured,,,official_card_direct_bounded_retrieval,2026-08-07,"Exact official Polish Dacia Shop card remained resolvable, but the bounded retrieval did not expose a catalogue price; this is not a mismatch."
4,8,"Kołpak 15""",403154034R,173.00,"Kołpak 15""",https://sklep.dacia.pl/akcesoria/szczegoly/403154034R,confirmed_card_price_not_captured,,,official_card_direct_bounded_retrieval,2026-08-07,"Exact official Polish Dacia Shop card remained resolvable, but the bounded retrieval did not expose a catalogue price; this is not a mismatch."
5,13,YouClip – lampka,684342227R,145.00,YouClip – lampka,https://sklep.dacia.pl/akcesoria/szczegoly/684342227R,confirmed_card_price_not_captured,,,official_card_direct_bounded_retrieval,2026-08-07,"Exact official Polish Dacia Shop card remained resolvable, but the bounded retrieval did not expose a catalogue price; this is not a mismatch."
6,16,YouClip – kieszonka,685605709R,259.00,YouClip – kieszonka,https://sklep.dacia.pl/akcesoria/szczegoly/685605709R,confirmed_card_price_not_captured,,,official_card_direct_bounded_retrieval,2026-08-07,"Exact official Polish Dacia Shop card remained resolvable, but the bounded retrieval did not expose a catalogue price; this is not a mismatch."
7,17,Uchwyt na kubek,685609899R,126.00,Uchwyt na kubek,https://sklep.dacia.pl/akcesoria/szczegoly/685609899R,confirmed_card_price_not_captured,,,official_card_direct_bounded_retrieval,2026-08-07,"Exact official Polish Dacia Shop card remained resolvable, but the bounded retrieval did not expose a catalogue price; this is not a mismatch."
8,20,Podłokietnik,8201751967,984.00,Podłokietnik,https://sklep.dacia.pl/akcesoria/szczegoly/8201751967,confirmed_card_price_not_captured,,,official_card_direct_bounded_retrieval,2026-08-07,"Exact official Polish Dacia Shop card remained resolvable, but the bounded retrieval did not expose a catalogue price; this is not a mismatch."
9,25,"Przewód ładowania akumulatora z gniazda domowego T2-E/F jednofazowy 10 A - długość 6,5m",7711943515,1230.00,Przewód ładowania akumulatora - złącze T2-E/F,https://sklep.dacia.pl/akcesoria/szczegoly/7711943515,confirmed_price_exact_match,1230.00,true,official_shop_search_snapshot,2026-08-07,Fresh official Polish Dacia Shop search snapshot exposed the catalogue price; exact match to the New Spring accessory price list.
10,40,Pokrowiec na samochód (rozmiar XS),7711949659,378.00,Pokrowiec na samochód (rozmiar XS),https://sklep.dacia.pl/akcesoria/szczegoly/7711949659,confirmed_card_price_not_captured,,,official_card_direct_bounded_retrieval,2026-08-07,"Exact official Polish Dacia Shop card remained resolvable, but the bounded retrieval did not expose a catalogue price; this is not a mismatch."
