ordinal,category,subcategory,price_list_name,part_number,document_price_gross_pln,shop_name,shop_catalog_price_gross_pln,first_pass_status,price_match,label_exact_match,shop_compatibility_includes_new_spring,availability_status,retry_deferred,evidence_stage,checked_on
1,BEZPIECZEŃSTWO,Bezpieczeństwo i sygnalizacja,"Zestaw bezpieczeństwa (kamizelka, trójkąt, apteczka)",7711780759,87.00,"Zestaw bezpieczeństwa - kamizelka, trójkąt, apteczka",87.00,confirmed_price_exact_match,true,false,true,temporarily_unavailable,false,reconciliation_001,2026-08-06
2,BEZPIECZEŃSTWO,Bezpieczeństwo i sygnalizacja,Gaśnica 1 kg,7711943172,87.00,,,dacia_pl_card_not_resolved,,,false,unresolved,true,reconciliation_bounded_attempt,2026-08-06
3,BEZPIECZEŃSTWO,Bezpieczeństwo i sygnalizacja,Wideo rejestrator Nextbase 222,7711945185,940.00,Wideo rejestrator Nextbase 222,940.00,confirmed_price_exact_match,true,true,true,temporarily_unavailable,false,reconciliation_001,2026-08-06
4,BEZPIECZEŃSTWO,Bezpieczeństwo i sygnalizacja,Uchwyt do mocowania gaśnicy,966115844R,157.00,,,dacia_pl_card_not_resolved,,,false,unresolved,true,reconciliation_bounded_attempt,2026-08-06
5,BEZPIECZEŃSTWO,Łańcuchy śniegowe,"Łańcuchy śniegowe Standard 9mm, rozmiar 50",7711578466,387.10,"Łańcuchy śniegowe Standard 9mm, rozmiar 50",,confirmed_card_price_not_captured,,true,true,listed_add_to_cart,false,reconciliation_001,2026-08-06
6,DESIGN,Felgi i akcesoria do kół,"Kołpak 15""",403152645R,173.00,Kołpak 15 cali,,confirmed_card_price_not_captured,,false,true,listed,false,shop_coverage_baseline,2026-08-06
7,DESIGN,Felgi i akcesoria do kół,"Kołpak 14""",403152884R,169.00,"Kołpak 14""",,confirmed_card_price_not_captured,,true,true,listed_add_to_cart,false,reconciliation_001,2026-08-06
8,DESIGN,Felgi i akcesoria do kół,"Kołpak 15""",403154034R,173.00,"Kołpak 15""",,confirmed_card_price_not_captured,,true,true,listed_add_to_cart,false,reconciliation_001,2026-08-06
9,DESIGN,Felgi i akcesoria do kół,"Kołpak 14""",403154280R,155.00,,,dacia_pl_card_not_resolved,,,false,unresolved,true,reconciliation_bounded_attempt,2026-08-06
10,DESIGN,Felgi i akcesoria do kół,Śruby antykradzieżowe do felg aluminowych - 4 śruby,8201724187,145.00,Śruby antykradzieżowe do felg aluminiowych - 4 śruby,145.00,confirmed_price_exact_match,true,false,true,temporarily_unavailable,false,reconciliation_001,2026-08-06
11,DESIGN,Wygląd wnętrza,YouClip – uchwyt do smartfona,283143468R,113.00,YouClip – uchwyt do smartfona,113.00,confirmed_price_exact_match,true,true,true,temporarily_unavailable,false,shop_coverage_baseline,2026-08-06
12,DESIGN,Wygląd wnętrza,YouClip – indukcyjna ładowarka do smartfonów,283D84357R,283.00,YouClip – indukcyjna ładowarka do smartfonów,283.00,confirmed_price_exact_match,true,true,true,temporarily_unavailable,false,reconciliation_001,2026-08-06
13,DESIGN,Wygląd wnętrza,YouClip – lampka,684342227R,145.00,YouClip – lampka,,confirmed_card_price_not_captured,,true,true,listed,false,shop_coverage_baseline,2026-08-06
14,DESIGN,Wygląd wnętrza,YouClip – zaczep,684344266R,56.00,YouClip – zaczep,56.00,confirmed_price_exact_match,true,true,true,temporarily_unavailable,false,shop_coverage_baseline,2026-08-06
15,DESIGN,Wygląd wnętrza,YouClip – Wielofunkcyjny uchwyt na kubek,684349615R,95.00,YouClip – wielofunkcyjny uchwyt na kubek,95.00,confirmed_price_exact_match,true,false,true,temporarily_unavailable,false,shop_coverage_baseline,2026-08-06
16,DESIGN,Wygląd wnętrza,YouClip – kieszonka,685605709R,259.00,YouClip – kieszonka,,confirmed_card_price_not_captured,,true,true,listed,false,shop_coverage_baseline,2026-08-06
17,DESIGN,Wygląd wnętrza,Uchwyt na kubek,685609899R,126.00,Uchwyt na kubek,,confirmed_card_price_not_captured,,true,true,listed_add_to_cart,false,reconciliation_001,2026-08-06
18,DESIGN,Wygląd wnętrza,YouClip – etui na okulary,739M00386R,149.00,,,dacia_pl_card_not_resolved,,,false,unresolved,true,reconciliation_bounded_attempt,2026-08-06
19,DESIGN,Wygląd wnętrza,Nakładki na progi przednich drzwi Spring,7711945712,187.00,,,dacia_pl_card_not_resolved,,,false,unresolved,true,reconciliation_bounded_attempt,2026-08-06
20,DESIGN,Wygląd wnętrza,Podłokietnik,8201751967,984.00,Podłokietnik,,confirmed_card_price_not_captured,,true,true,listed_add_to_cart,false,reconciliation_002,2026-08-06
21,DESIGN,Wygląd wnętrza,YouClip – 3 w 1 (uchwyt na kubki + lampka + zaczep),984392908R,259.00,YouClip – 3 w 1,259.00,confirmed_price_exact_match,true,false,true,temporarily_unavailable,false,shop_coverage_baseline,2026-08-06
