batch_position,price_list_ordinal,price_list_name,shop_name,part_number,document_price_gross_pln,shop_catalog_price_gross_pln,price_match,label_exact_match,declared_compatibility,availability_status,retrieval_status,checked_on,source_url,notes
1,19,Nakładki na progi przednich drzwi Spring,,7711945712,187.0,,,,,unresolved,dacia_pl_card_not_resolved,2026-08-06,https://sklep.dacia.pl/akcesoria/szczegoly/7711945712,No Polish Dacia Shop card was resolved in the bounded check. Foreign-market official Dacia and third-party records are not transferred to Polish New Spring evidence.
2,20,Podłokietnik,Podłokietnik,8201751967,984.0,,,True,NOWY SPRING,listed_add_to_cart,confirmed_dacia_pl_card,2026-08-06,https://sklep.dacia.pl/akcesoria/szczegoly/8201751967,"Official Polish Dacia Shop card confirms the exact part number, label and New Spring compatibility. The retrieved card did not expose a catalogue price."
3,22,Nakładki ochronne na krawędzie drzwi i boczne lusterka,,8201743312,214.0,,,,,unresolved,dacia_pl_card_not_resolved,2026-08-06,https://sklep.dacia.pl/akcesoria/szczegoly/8201743312,No Polish Dacia Shop card was resolved in the bounded check. Foreign-market official Dacia and third-party records are not transferred to Polish New Spring evidence.
4,23,Listwa bagażnika,,8201751961,342.0,,,,,unresolved,dacia_pl_card_not_resolved,2026-08-06,https://sklep.dacia.pl/akcesoria/szczegoly/8201751961,No Polish Dacia Shop card was resolved in the bounded check. Foreign-market official Dacia and third-party records are not transferred to Polish New Spring evidence.
5,24,Przejściówka do zasilania zewnętrznego sprzętu,,296976446R,949.0,,,,,unresolved,dacia_pl_card_not_resolved,2026-08-06,https://sklep.dacia.pl/akcesoria/szczegoly/296976446R,No Polish Dacia Shop card was resolved in the bounded check. Official Renault Shop PL and foreign-market Dacia records are not transferred to Polish New Spring evidence.
6,25,"Przewód ładowania akumulatora z gniazda domowego T2-E/F jednofazowy 10 A - długość 6,5m",Przewód ładowania akumulatora - złącze T2-E/F,7711943515,1230.0,,,False,SPRING; NOWY SPRING,listed_add_to_cart,confirmed_dacia_pl_card,2026-08-06,https://sklep.dacia.pl/akcesoria/szczegoly/7711943515,Official Polish Dacia Shop card confirms the exact part number and New Spring compatibility. The retrieved card did not expose a catalogue price.
7,26,"Przewód ładowania akumulatora z terminala Wallbox T2-T2 32 A - zasięg 6,5 m.",,7711943517,3219.0,,,,,unresolved,dacia_pl_card_not_resolved,2026-08-06,https://sklep.dacia.pl/akcesoria/szczegoly/7711943517,No Polish Dacia Shop card was resolved in the bounded check. Official Renault Shop PL and foreign-market Dacia records are not transferred to Polish New Spring evidence.
8,27,"Przewód ładowania akumulatora z terminala Wallbox T2-T2 20 A - zasięg 6,5 m.",,7711943518,2164.0,,,,,unresolved,dacia_pl_card_not_resolved,2026-08-06,https://sklep.dacia.pl/akcesoria/szczegoly/7711943518,No Polish Dacia Shop card was resolved in the bounded check. Official Renault Shop PL and foreign-market Dacia records are not transferred to Polish New Spring evidence.
9,28,"Przewód ładowania akumulatora Typ 2, 6,5 m, ze wzmocnionego gniazda domowego prądu jednofazowego 16A Typ E/F, o mocy 3,7 kW",,7717278287,1549.0,,,,,unresolved,dacia_pl_card_not_resolved,2026-08-06,https://sklep.dacia.pl/akcesoria/szczegoly/7717278287,No Polish Dacia Shop card was resolved in the bounded check. Official Renault Shop PL and foreign-market records are not transferred to Polish New Spring evidence.
10,29,"Rękawice do ładowanie akumulatora, rozmiar S/M",,7717301120,83.0,,,,,unresolved,dacia_pl_card_not_resolved,2026-08-06,https://sklep.dacia.pl/akcesoria/szczegoly/7717301120,No Polish Dacia Shop card was resolved in the bounded check. Other-brand or foreign-market records are not transferred to Polish New Spring evidence.
11,30,"Rękawice do ładowanie akumulatora, rozmiar L/XL",,7717301121,97.0,,,,,unresolved,dacia_pl_card_not_resolved,2026-08-06,https://sklep.dacia.pl/akcesoria/szczegoly/7717301121,No Polish Dacia Shop card was resolved in the bounded check. Official Renault Shop PL and foreign-market records are not transferred to Polish New Spring evidence.
12,31,Domowe gniazdo ładowania Green’Up Typ E,,8201486883,1509.0,,,,,unresolved,dacia_pl_card_not_resolved,2026-08-06,https://sklep.dacia.pl/akcesoria/szczegoly/8201486883,No Polish Dacia Shop card was resolved in the bounded check. Official Renault Shop PL and foreign-market Dacia records are not transferred to Polish New Spring evidence.
