retry_position,price_list_ordinal,category,subcategory,price_list_name,part_number,document_price_gross_pln,previous_status,previous_checked_on,retry_status,retry_checked_on,polish_shop_card_resolved,source_url,evidence_boundary,notes
1,2,BEZPIECZEŃSTWO,Bezpieczeństwo i sygnalizacja,Gaśnica 1 kg,7711943172,87.00,dacia_pl_card_not_resolved,2026-08-06,dacia_pl_card_not_resolved,2026-08-07,false,https://sklep.dacia.pl/akcesoria/szczegoly/7711943172,exact_part_number_polish_dacia_shop_only,"Foreign-market official Dacia records may exist, but no Polish Dacia Shop card was resolved; no cross-market transfer."
2,4,BEZPIECZEŃSTWO,Bezpieczeństwo i sygnalizacja,Uchwyt do mocowania gaśnicy,966115844R,157.00,dacia_pl_card_not_resolved,2026-08-06,dacia_pl_card_not_resolved,2026-08-07,false,https://sklep.dacia.pl/akcesoria/szczegoly/966115844R,exact_part_number_polish_dacia_shop_only,No Polish Dacia Shop card was resolved in the bounded retry.
3,9,DESIGN,Felgi i akcesoria do kół,"Kołpak 14""",403154280R,155.00,dacia_pl_card_not_resolved,2026-08-06,dacia_pl_card_not_resolved,2026-08-07,false,https://sklep.dacia.pl/akcesoria/szczegoly/403154280R,exact_part_number_polish_dacia_shop_only,No Polish Dacia Shop card was resolved in the bounded retry.
4,18,DESIGN,Wygląd wnętrza,YouClip – etui na okulary,739M00386R,149.00,dacia_pl_card_not_resolved,2026-08-06,dacia_pl_card_not_resolved,2026-08-07,false,https://sklep.dacia.pl/akcesoria/szczegoly/739M00386R,exact_part_number_polish_dacia_shop_only,Foreign-market official Dacia cards were not transferred to Polish New Spring evidence.
5,19,DESIGN,Wygląd wnętrza,Nakładki na progi przednich drzwi Spring,7711945712,187.00,dacia_pl_card_not_resolved,2026-08-06,dacia_pl_card_not_resolved,2026-08-07,false,https://sklep.dacia.pl/akcesoria/szczegoly/7711945712,exact_part_number_polish_dacia_shop_only,Third-party Polish marketplace records were not substituted for an official Polish Dacia Shop card.
6,22,DESIGN,Wygląd zewnętrzny,Nakładki ochronne na krawędzie drzwi i boczne lusterka,8201743312,214.00,dacia_pl_card_not_resolved,2026-08-06,dacia_pl_card_not_resolved,2026-08-07,false,https://sklep.dacia.pl/akcesoria/szczegoly/8201743312,exact_part_number_polish_dacia_shop_only,Foreign and third-party records were not transferred to Polish New Spring evidence.
7,23,DESIGN,Wygląd zewnętrzny,Listwa bagażnika,8201751961,342.00,dacia_pl_card_not_resolved,2026-08-06,dacia_pl_card_not_resolved,2026-08-07,false,https://sklep.dacia.pl/akcesoria/szczegoly/8201751961,exact_part_number_polish_dacia_shop_only,No Polish Dacia Shop card was resolved in the bounded retry.
8,24,KOMFORT I OCHRONA,Akcesoria do ładowania,Przejściówka do zasilania zewnętrznego sprzętu,296976446R,949.00,dacia_pl_card_not_resolved,2026-08-06,dacia_pl_card_not_resolved,2026-08-07,false,https://sklep.dacia.pl/akcesoria/szczegoly/296976446R,exact_part_number_polish_dacia_shop_only,A Polish Renault Shop card and foreign third-party records were not substituted for a Polish Dacia Shop card.
9,26,KOMFORT I OCHRONA,Akcesoria do ładowania,"Przewód ładowania akumulatora z terminala Wallbox T2-T2 32 A - zasięg 6,5 m.",7711943517,3219.00,dacia_pl_card_not_resolved,2026-08-06,dacia_pl_card_not_resolved,2026-08-07,false,https://sklep.dacia.pl/akcesoria/szczegoly/7711943517,exact_part_number_polish_dacia_shop_only,No Polish Dacia Shop card was resolved in the bounded retry.
10,27,KOMFORT I OCHRONA,Akcesoria do ładowania,"Przewód ładowania akumulatora z terminala Wallbox T2-T2 20 A - zasięg 6,5 m.",7711943518,2164.00,dacia_pl_card_not_resolved,2026-08-06,dacia_pl_card_not_resolved,2026-08-07,false,https://sklep.dacia.pl/akcesoria/szczegoly/7711943518,exact_part_number_polish_dacia_shop_only,Third-party foreign records were not substituted for an official Polish Dacia Shop card.
