retry_position,price_list_ordinal,category,subcategory,price_list_name,part_number,document_price_gross_pln,previous_status,previous_checked_on,retry_status,retry_checked_on,polish_shop_card_resolved,shop_name,shop_catalogue_price_gross_pln,price_match,label_exact_match,declared_compatibility,availability_status,source_url,evidence_boundary,notes
21,38,KOMFORT I OCHRONA,Dywaniki,Dywaniki gumowe,8201756618,250.00,dacia_pl_card_not_resolved,2026-08-06,dacia_pl_card_not_resolved,2026-08-07,false,,,,,,,https://sklep.dacia.pl/akcesoria/szczegoly/8201756618,exact_part_number_polish_dacia_shop_only,"No official Polish Dacia Shop card was resolved in the bounded retry. Non-Polish, other-brand and third-party records were not transferred to Polish New Spring evidence."
22,39,KOMFORT I OCHRONA,Dywaniki,Dywaniki gumowe (tylny rząd),8201756621,170.00,dacia_pl_card_not_resolved,2026-08-06,dacia_pl_card_not_resolved,2026-08-07,false,,,,,,,https://sklep.dacia.pl/akcesoria/szczegoly/8201756621,exact_part_number_polish_dacia_shop_only,"No official Polish Dacia Shop card was resolved in the bounded retry. Non-Polish, other-brand and third-party records were not transferred to Polish New Spring evidence."
23,40,KOMFORT I OCHRONA,Ochrona karoserii,Pokrowiec na samochód (rozmiar XS),7711949659,378.00,dacia_pl_card_not_resolved,2026-08-06,confirmed_card_price_not_captured,2026-08-07,true,Pokrowiec na samochód (rozmiar XS),,,true,NOWY SPRING,listed_add_to_cart,https://sklep.dacia.pl/akcesoria/szczegoly/7711949659,exact_part_number_polish_dacia_shop_only,"Official Polish Dacia Shop card confirms the exact part number, literal label and New Spring compatibility. The retrieved card did not expose a catalogue price."
24,44,KOMFORT I OCHRONA,Wyposażenie bagażnika,Dwustronna mata bagażnika do bagażnika Spring(2),8201742284,311.00,dacia_pl_card_not_resolved,2026-08-06,confirmed_card_price_not_captured,2026-08-07,true,Dwustronna mata bagażnika Dacia Spring,,,false,SPRING; NOWY SPRING,listed_add_to_cart,https://sklep.dacia.pl/akcesoria/szczegoly/8201742284,exact_part_number_polish_dacia_shop_only,"Official Polish Dacia Shop card confirms the exact part number and New Spring compatibility. The current shop label differs from the price-list label, and the retrieved card did not expose a catalogue price."
25,46,KOMFORT I OCHRONA,Wyposażenie wnętrza,Pokrowiec na tylne siedzenia do przewozu psów,7711945735,419.00,dacia_pl_card_not_resolved,2026-08-06,dacia_pl_card_not_resolved,2026-08-07,false,,,,,,,https://sklep.dacia.pl/akcesoria/szczegoly/7711945735,exact_part_number_polish_dacia_shop_only,"No official Polish Dacia Shop card was resolved in the bounded retry. Non-Polish, other-brand and third-party records were not transferred to Polish New Spring evidence."
26,48,KOMFORT I OCHRONA,Wyposażenie wnętrza,Zestaw dla palących (popielniczka + zapalniczka),8201375535,225.00,dacia_pl_card_not_resolved,2026-08-06,dacia_pl_card_not_resolved,2026-08-07,false,,,,,,,https://sklep.dacia.pl/akcesoria/szczegoly/8201375535,exact_part_number_polish_dacia_shop_only,"No official Polish Dacia Shop card was resolved in the bounded retry. Non-Polish, other-brand and third-party records were not transferred to Polish New Spring evidence."
27,49,KOMFORT I OCHRONA,Wyposażenie wnętrza,Organizer konsoli centralnej,8201751965,291.00,dacia_pl_card_not_resolved,2026-08-06,dacia_pl_card_not_resolved,2026-08-07,false,,,,,,,https://sklep.dacia.pl/akcesoria/szczegoly/8201751965,exact_part_number_polish_dacia_shop_only,"No official Polish Dacia Shop card was resolved in the bounded retry. Non-Polish, other-brand and third-party records were not transferred to Polish New Spring evidence."
28,50,KOMFORT I OCHRONA,Wyposażenie wnętrza,Schowek pod maską silnika,8201751968,969.00,dacia_pl_card_not_resolved,2026-08-06,dacia_pl_card_not_resolved,2026-08-07,false,,,,,,,https://sklep.dacia.pl/akcesoria/szczegoly/8201751968,exact_part_number_polish_dacia_shop_only,"No official Polish Dacia Shop card was resolved in the bounded retry. Non-Polish, other-brand and third-party records were not transferred to Polish New Spring evidence."
29,51,MULTIMEDIA,Telefon,Uchwyt na telefon - montowany na desce rozdzielczej,7711784775,111.00,dacia_pl_card_not_resolved,2026-08-06,dacia_pl_card_not_resolved,2026-08-07,false,,,,,,,https://sklep.dacia.pl/akcesoria/szczegoly/7711784775,exact_part_number_polish_dacia_shop_only,"No official Polish Dacia Shop card was resolved in the bounded retry. Non-Polish, other-brand and third-party records were not transferred to Polish New Spring evidence."
30,56,TRANSPORT,Poprzeczki i bagażniki,Bagażnik z podwójną podłogą do przechowywania kabli,7717300012,1169.00,dacia_pl_card_not_resolved,2026-08-06,dacia_pl_card_not_resolved,2026-08-07,false,,,,,,,https://sklep.dacia.pl/akcesoria/szczegoly/7717300012,exact_part_number_polish_dacia_shop_only,"No official Polish Dacia Shop card was resolved in the bounded retry. Non-Polish, other-brand and third-party records were not transferred to Polish New Spring evidence."
