retry_position,price_list_ordinal,category,subcategory,price_list_name,part_number,document_price_gross_pln,previous_status,last_checked_on,retry_policy
1,2,BEZPIECZEŃSTWO,Bezpieczeństwo i sygnalizacja,Gaśnica 1 kg,7711943172,87.00,dacia_pl_card_not_resolved,2026-08-06,deferred_no_same_day_retry
2,4,BEZPIECZEŃSTWO,Bezpieczeństwo i sygnalizacja,Uchwyt do mocowania gaśnicy,966115844R,157.00,dacia_pl_card_not_resolved,2026-08-06,deferred_no_same_day_retry
3,9,DESIGN,Felgi i akcesoria do kół,"Kołpak 14""",403154280R,155.00,dacia_pl_card_not_resolved,2026-08-06,deferred_no_same_day_retry
4,18,DESIGN,Wygląd wnętrza,YouClip – etui na okulary,739M00386R,149.00,dacia_pl_card_not_resolved,2026-08-06,deferred_no_same_day_retry
5,19,DESIGN,Wygląd wnętrza,Nakładki na progi przednich drzwi Spring,7711945712,187.00,dacia_pl_card_not_resolved,2026-08-06,deferred_no_same_day_retry
6,22,DESIGN,Wygląd zewnętrzny,Nakładki ochronne na krawędzie drzwi i boczne lusterka,8201743312,214.00,dacia_pl_card_not_resolved,2026-08-06,deferred_no_same_day_retry
7,23,DESIGN,Wygląd zewnętrzny,Listwa bagażnika,8201751961,342.00,dacia_pl_card_not_resolved,2026-08-06,deferred_no_same_day_retry
8,24,KOMFORT I OCHRONA,Akcesoria do ładowania,Przejściówka do zasilania zewnętrznego sprzętu,296976446R,949.00,dacia_pl_card_not_resolved,2026-08-06,deferred_no_same_day_retry
9,26,KOMFORT I OCHRONA,Akcesoria do ładowania,"Przewód ładowania akumulatora z terminala Wallbox T2-T2 32 A - zasięg 6,5 m.",7711943517,3219.00,dacia_pl_card_not_resolved,2026-08-06,deferred_no_same_day_retry
10,27,KOMFORT I OCHRONA,Akcesoria do ładowania,"Przewód ładowania akumulatora z terminala Wallbox T2-T2 20 A - zasięg 6,5 m.",7711943518,2164.00,dacia_pl_card_not_resolved,2026-08-06,deferred_no_same_day_retry
11,28,KOMFORT I OCHRONA,Akcesoria do ładowania,"Przewód ładowania akumulatora Typ 2, 6,5 m, ze wzmocnionego gniazda domowego prądu jednofazowego 16A Typ E/F, o mocy 3,7 kW",7717278287,1549.00,dacia_pl_card_not_resolved,2026-08-06,deferred_no_same_day_retry
12,29,KOMFORT I OCHRONA,Akcesoria do ładowania,"Rękawice do ładowanie akumulatora, rozmiar S/M",7717301120,83.00,dacia_pl_card_not_resolved,2026-08-06,deferred_no_same_day_retry
