source_ordinal,part_number,price_list_name,shop_name,price_list_price_pln,shop_catalog_price_pln,shop_card_status,price_match,name_exact_match,declared_compatibility,new_spring_compatibility_confirmed,shop_availability,checked_on,shop_url,notes
1,7711780759,"Zestaw bezpieczeństwa (kamizelka, trójkąt, apteczka)","Zestaw bezpieczeństwa - kamizelka, trójkąt, apteczka",87.00,,retrieved,,false,SANDERO Stepway|SANDERO|Logan III|SPRING|DUSTER|JOGGER|NOWY DUSTER|NOWY SPRING|BIGSTER,true,listed,2026-08-06,https://sklep.dacia.pl/akcesoria/szczegoly/7711780759,Card retrieved; numeric price not exposed; punctuation differs and both labels are preserved.
2,7711943172,Gaśnica 1 kg,,87.00,,not_retrieved,,,,,not_confirmed,2026-08-06,https://sklep.dacia.pl/akcesoria/szczegoly/7711943172,Exact Polish card not retrieved; exact domain search returned no card. Not evidence of withdrawal.
3,7711945185,Wideo rejestrator Nextbase 222,Wideo rejestrator Nextbase 222,940.00,,retrieved,,true,SPRING|DUSTER|JOGGER|NOWY SPRING,true,listed,2026-08-06,https://sklep.dacia.pl/akcesoria/szczegoly/7711945185,Card retrieved; numeric price not exposed in the retrieved view.
4,966115844R,Uchwyt do mocowania gaśnicy,,157.00,,not_retrieved,,,,,not_confirmed,2026-08-06,https://sklep.dacia.pl/akcesoria/szczegoly/966115844R,Exact Polish card not retrieved; exact domain search returned no card. Not evidence of withdrawal.
5,7711578466,"Łańcuchy śniegowe Standard 9mm, rozmiar 50","Łańcuchy śniegowe Standard 9mm, rozmiar 50",387.10,,retrieved,,true,NOWY SPRING,true,listed,2026-08-06,https://sklep.dacia.pl/akcesoria/szczegoly/7711578466,Card retrieved; numeric price not exposed in the retrieved view.
7,403152884R,"Kołpak 14""","Kołpak 14""",169.00,,retrieved,,true,NOWY SPRING,true,listed,2026-08-06,https://sklep.dacia.pl/akcesoria/szczegoly/403152884R,Card retrieved; numeric price not exposed in the retrieved view.
8,403154034R,"Kołpak 15""","Kołpak 15""",173.00,,retrieved,,true,NOWY SPRING,true,listed,2026-08-06,https://sklep.dacia.pl/akcesoria/szczegoly/403154034R,Card retrieved; numeric price not exposed in the retrieved view.
9,403154280R,"Kołpak 14""",,155.00,,not_retrieved,,,,,not_confirmed,2026-08-06,https://sklep.dacia.pl/akcesoria/szczegoly/403154280R,Exact Polish card not retrieved; exact domain search returned no card. Not evidence of withdrawal.
10,8201724187,Śruby antykradzieżowe do felg aluminowych - 4 śruby,Śruby antykradzieżowe do felg aluminiowych - 4 śruby,145.00,145.00,retrieved,true,false,SANDERO Stepway|SANDERO|Logan III|DUSTER|JOGGER|NOWY DUSTER|NOWY SPRING|BIGSTER,true,temporarily_unavailable,2026-08-06,https://sklep.dacia.pl/akcesoria/szczegoly/8201724187,145 PLN exact price match; document 'aluminowych' and shop 'aluminiowych' preserved.
12,283D84357R,YouClip – indukcyjna ładowarka do smartfonów,YouClip – indukcyjna ładowarka do smartfonów,283.00,,retrieved,,true,NOWY DUSTER|NOWY SPRING|BIGSTER,true,listed,2026-08-06,https://sklep.dacia.pl/akcesoria/szczegoly/283D84357R,Card retrieved; numeric price not exposed in the retrieved view.
18,739M00386R,YouClip – etui na okulary,,149.00,,not_retrieved,,,,,not_confirmed,2026-08-06,https://sklep.dacia.pl/akcesoria/szczegoly/739M00386R,No exact Polish card retrieved; other-market official cards excluded.
19,7711945712,Nakładki na progi przednich drzwi Spring,,187.00,,not_retrieved,,,,,not_confirmed,2026-08-06,https://sklep.dacia.pl/akcesoria/szczegoly/7711945712,Exact Polish card not retrieved; exact domain search returned no card. Not evidence of withdrawal.
20,8201751967,Podłokietnik,Podłokietnik,984.00,,retrieved,,true,NOWY SPRING,true,listed,2026-08-06,https://sklep.dacia.pl/akcesoria/szczegoly/8201751967,Card retrieved; numeric price not exposed in the retrieved view.
22,8201743312,Nakładki ochronne na krawędzie drzwi i boczne lusterka,,214.00,,not_retrieved,,,,,not_confirmed,2026-08-06,https://sklep.dacia.pl/akcesoria/szczegoly/8201743312,Exact Polish card not retrieved; exact domain search returned no card. Not evidence of withdrawal.
23,8201751961,Listwa bagażnika,,342.00,,not_retrieved,,,,,not_confirmed,2026-08-06,https://sklep.dacia.pl/akcesoria/szczegoly/8201751961,No exact Polish card retrieved; other-market official cards excluded.
