version_code,version_name,model_code,model_name,configuration_count,configuration_codes,price_state,price_currency,price_minimum,price_maximum,price_recorded_count,price_missing_count,seat_summary_state,recorded_seat_values,transmission_values,powertrain_labels,reporting_scope_count,single_model_scope_count,mixed_model_scope_count,scope_slugs,provenance_source_count,provenance_relationship_count,provenance_configuration_coverage_count,provenance_missing_configuration_count,provenance_earliest_document_date,provenance_latest_document_date
sandero_iii_expression,Expression,sandero_iii,Sandero,3,sandero_iii_expression_ecog120_automatic|sandero_iii_expression_ecog120_manual|sandero_iii_expression_tce100_manual,recorded,PLN,68000,74900,3,0,recorded,5,automatic|manual,Eco-G 120|TCe 100,3,1,2,sandero_ecog120_automatic|sandero_ecog120_manual|sandero_tce100_stepway_tce110_manual,7,13,3,0,2026-02-02,2026-07-24
sandero_iii_journey,Journey,sandero_iii,Sandero,3,sandero_iii_journey_ecog120_automatic|sandero_iii_journey_ecog120_manual|sandero_iii_journey_tce100_manual,recorded,PLN,73600,80500,3,0,recorded,5,automatic|manual,Eco-G 120|TCe 100,3,1,2,sandero_ecog120_automatic|sandero_ecog120_manual|sandero_tce100_stepway_tce110_manual,7,13,3,0,2026-02-02,2026-07-24
sandero_iii_essential,Essential,sandero_iii,Sandero,1,sandero_iii_essential_tce100_manual,recorded,PLN,63900,63900,1,0,recorded,5,manual,TCe 100,1,0,1,sandero_tce100_stepway_tce110_manual,3,3,1,0,2026-02-02,2026-07-03
sandero_stepway_iii_essential,Essential,sandero_stepway_iii,Sandero Stepway,2,sandero_stepway_iii_essential_ecog120_manual|sandero_stepway_iii_essential_tce110_manual,recorded,PLN,71700,71700,2,0,recorded,5,manual,Eco-G 120|TCe 110,2,0,2,sandero_ecog120_manual|sandero_tce100_stepway_tce110_manual,7,8,2,0,2026-02-02,2026-07-24
sandero_stepway_iii_expression,Expression,sandero_stepway_iii,Sandero Stepway,3,sandero_stepway_iii_expression_ecog120_automatic|sandero_stepway_iii_expression_ecog120_manual|sandero_stepway_iii_expression_tce110_manual,recorded,PLN,76400,83300,3,0,recorded,5,automatic|manual,Eco-G 120|TCe 110,3,1,2,sandero_ecog120_manual|sandero_stepway_ecog120_automatic|sandero_tce100_stepway_tce110_manual,8,14,3,0,2026-02-02,2026-07-24
sandero_stepway_iii_extreme,Extreme,sandero_stepway_iii,Sandero Stepway,3,sandero_stepway_iii_extreme_ecog120_automatic|sandero_stepway_iii_extreme_ecog120_manual|sandero_stepway_iii_extreme_tce110_manual,recorded,PLN,82500,89400,3,0,recorded,5,automatic|manual,Eco-G 120|TCe 110,3,1,2,sandero_ecog120_manual|sandero_stepway_ecog120_automatic|sandero_tce100_stepway_tce110_manual,8,14,3,0,2026-02-02,2026-07-24
jogger_essential,Essential,jogger,Jogger,2,jogger_essential_5seat_ecog120_manual|jogger_essential_7seat_ecog120_manual,recorded,PLN,77900,82400,2,0,recorded,5|7,manual,Eco-G 120,1,1,0,jogger_ecog120_manual,4,8,2,0,2025-12-17,2026-07-24
jogger_expression,Expression,jogger,Jogger,6,jogger_expression_5seat_ecog120_manual|jogger_expression_5seat_hybrid155_automatic|jogger_expression_5seat_tce110_manual|jogger_expression_7seat_ecog120_manual|jogger_expression_7seat_hybrid155_automatic|jogger_expression_7seat_tce110_manual,recorded,PLN,82050,108050,6,0,recorded,5|7,automatic|manual,Eco-G 120|TCe 110|hybrid 155,3,3,0,jogger_ecog120_manual|jogger_hybrid155_automatic|jogger_tce110_manual,4,24,6,0,2025-12-17,2026-07-24
jogger_extreme,Extreme,jogger,Jogger,8,jogger_extreme_5seat_ecog120_automatic|jogger_extreme_5seat_ecog120_manual|jogger_extreme_5seat_hybrid155_automatic|jogger_extreme_5seat_tce110_manual|jogger_extreme_7seat_ecog120_automatic|jogger_extreme_7seat_ecog120_manual|jogger_extreme_7seat_hybrid155_automatic|jogger_extreme_7seat_tce110_manual,recorded,PLN,89900,115900,8,0,recorded,5|7,automatic|manual,Eco-G 120|TCe 110|hybrid 155,4,4,0,jogger_ecog120_automatic|jogger_ecog120_manual|jogger_hybrid155_automatic|jogger_tce110_manual,4,32,8,0,2025-12-17,2026-07-24
jogger_journey,Journey,jogger,Jogger,6,jogger_journey_5seat_ecog120_automatic|jogger_journey_5seat_hybrid155_automatic|jogger_journey_5seat_tce110_manual|jogger_journey_7seat_ecog120_automatic|jogger_journey_7seat_hybrid155_automatic|jogger_journey_7seat_tce110_manual,recorded,PLN,94050,118050,6,0,recorded,5|7,automatic|manual,Eco-G 120|TCe 110|hybrid 155,3,3,0,jogger_ecog120_automatic|jogger_hybrid155_automatic|jogger_tce110_manual,4,24,6,0,2025-12-17,2026-07-24
