source_code,source_type,title,publisher,market,document_date,external_reference,file_path,sha256,status,relationship_count,relationship_types,configuration_count,configuration_codes,version_count,version_codes,model_family_count,model_codes,model_names,notes
src_pl_sandero_expression_ecog120_mt_20260626,configuration_pdf,NOWE SANDERO expression Eco-G 120 f.2,Dacia,PL,2026-06-26,5QML4L,PDF/Cenniki/NOWE SANDERO expression Eco-G 120 f.pdf,82a8853d90b492e48595ff33db73632dc309b8a12d08d11dd3c259fca4eaff68,active,1,documents,1,sandero_iii_expression_ecog120_manual,1,sandero_iii_expression,1,sandero_iii,Sandero,
src_pl_sandero_journey_ecog120_mt_20260626,configuration_pdf,NOWE SANDERO journey Eco-G 120 f.2,Dacia,PL,2026-06-26,KD1UPF,PDF/Cenniki/NOWE SANDERO journey Eco-G 120 f.pdf,7ab1526e7bc2a72ff2b179f30cd0c8c223633f1100d31aa7dd80594325b302a3,active,1,documents,1,sandero_iii_journey_ecog120_manual,1,sandero_iii_journey,1,sandero_iii,Sandero,
src_pl_sandero_stepway_essential_ecog120_mt_20260626,configuration_pdf,NOWE SANDERO STEPWAY essential stepway Eco-G 120 f.2,Dacia,PL,2026-06-26,VBMH3M,PDF/Cenniki/NOWE SANDERO STEPWAY essential stepway Eco-G 120 f.pdf,14dbd68fc58d63bc81595f64784e37089ef25ed0103e2a74768477e602b29ea1,active,1,documents,1,sandero_stepway_iii_essential_ecog120_manual,1,sandero_stepway_iii_essential,1,sandero_stepway_iii,Sandero Stepway,
src_pl_sandero_stepway_expression_ecog120_at_20260626,configuration_pdf,NOWE SANDERO STEPWAY expression stepway Eco-G 120 auto f.2,Dacia,PL,2026-06-26,JA1EKI,PDF/Cenniki/NOWE SANDERO STEPWAY expression stepway Eco-G 120 auto f.pdf,385409e33a0932e48cbd901b5805f873831ec005c6451cd6ed1623a06fa15667,active,1,documents,1,sandero_stepway_iii_expression_ecog120_automatic,1,sandero_stepway_iii_expression,1,sandero_stepway_iii,Sandero Stepway,
src_pl_sandero_stepway_expression_ecog120_mt_20260626,configuration_pdf,NOWE SANDERO STEPWAY expression stepway Eco-G 120 f.2,Dacia,PL,2026-06-26,VH30BG,PDF/Cenniki/NOWE SANDERO STEPWAY expression stepway Eco-G 120 f.pdf,7cbca5f16e74c5bce10cdf1d099573b6ace40e905d79325676fdd5753d14f130,active,1,documents,1,sandero_stepway_iii_expression_ecog120_manual,1,sandero_stepway_iii_expression,1,sandero_stepway_iii,Sandero Stepway,
src_pl_sandero_stepway_extreme_ecog120_at_20260626,configuration_pdf,NOWE SANDERO STEPWAY extreme stepway Eco-G 120 auto f.2,Dacia,PL,2026-06-26,MWF2W6,PDF/Cenniki/NOWE SANDERO STEPWAY extreme stepway Eco-G 120 auto f.pdf,a519c2002231cd28f92999c2d8af76fb5c58e6129ac6d5521c6436e471349aff,active,1,documents,1,sandero_stepway_iii_extreme_ecog120_automatic,1,sandero_stepway_iii_extreme,1,sandero_stepway_iii,Sandero Stepway,
src_pl_sandero_stepway_extreme_ecog120_mt_20260626,configuration_pdf,NOWE SANDERO STEPWAY extreme stepway Eco-G 120 f.2,Dacia,PL,2026-06-26,IXU1ZL,PDF/Cenniki/NOWE SANDERO STEPWAY extreme stepway Eco-G 120 f.pdf,fe7e4012bce170eceecb993af473e6eebb8c1d5c10b33f3edfc222e59c80a115,active,1,documents,1,sandero_stepway_iii_extreme_ecog120_manual,1,sandero_stepway_iii_extreme,1,sandero_stepway_iii,Sandero Stepway,
src_pl_duster_price_my26_py25_20260206,configuration_pdf,DACIA DUSTER cennik MY26 PY25,Dacia,PL,2026-02-06,b281a995a9,PDF/Cenniki/DACIA DUSTER cennik MY26 PY25.pdf,f6126fd4546031c643248b0e19639aa5736e54f8088567460681c938be3932b7,active,24,documents,24,duster_iii_essential_ecog100_4x2_manual|duster_iii_essential_ecog120_4x2_manual|duster_iii_expression_ecog100_4x2_manual|duster_iii_expression_ecog120_4x2_manual|duster_iii_expression_hybrid140_4x2_automatic|duster_iii_expression_hybrid155_4x2_automatic|duster_iii_expression_mildhybrid130_4x2_manual|duster_iii_expression_mildhybrid130_4x4_manual|duster_iii_expression_mildhybrid140_4x2_manual|duster_iii_extreme_ecog100_4x2_manual|duster_iii_extreme_ecog120_4x2_manual|duster_iii_extreme_hybrid140_4x2_automatic|duster_iii_extreme_hybrid155_4x2_automatic|duster_iii_extreme_mildhybrid130_4x2_manual|duster_iii_extreme_mildhybrid130_4x4_manual|duster_iii_extreme_mildhybrid140_4x2_manual|duster_iii_journey_ecog100_4x2_manual|duster_iii_journey_ecog120_4x2_manual|duster_iii_journey_hybrid140_4x2_automatic|duster_iii_journey_hybrid155_4x2_automatic|duster_iii_journey_mildhybrid130_4x2_manual|duster_iii_journey_mildhybrid130_4x4_manual|duster_iii_journey_mildhybrid140_4x2_manual|duster_iii_journey_plus_hybrid140_4x2_automatic,5,duster_iii_essential|duster_iii_expression|duster_iii_extreme|duster_iii_journey|duster_iii_journey_plus,1,duster_iii,Duster,
src_pl_jogger_price_my26_20260401,configuration_pdf,DACIA JOGGER cennik MY26,Dacia,PL,2026-04-01,a03bb2de2c,PDF/Cenniki/DACIA JOGGER cennik MY26 20260401.pdf,a03bb2de2cdadd51223e7d1a50aee898729172f39953bf2bfc946613d6e30d7b,active,22,documents,22,jogger_essential_5seat_ecog120_manual|jogger_essential_7seat_ecog120_manual|jogger_expression_5seat_ecog120_manual|jogger_expression_5seat_hybrid155_automatic|jogger_expression_5seat_tce110_manual|jogger_expression_7seat_ecog120_manual|jogger_expression_7seat_hybrid155_automatic|jogger_expression_7seat_tce110_manual|jogger_extreme_5seat_ecog120_automatic|jogger_extreme_5seat_ecog120_manual|jogger_extreme_5seat_hybrid155_automatic|jogger_extreme_5seat_tce110_manual|jogger_extreme_7seat_ecog120_automatic|jogger_extreme_7seat_ecog120_manual|jogger_extreme_7seat_hybrid155_automatic|jogger_extreme_7seat_tce110_manual|jogger_journey_5seat_ecog120_automatic|jogger_journey_5seat_hybrid155_automatic|jogger_journey_5seat_tce110_manual|jogger_journey_7seat_ecog120_automatic|jogger_journey_7seat_hybrid155_automatic|jogger_journey_7seat_tce110_manual,4,jogger_essential|jogger_expression|jogger_extreme|jogger_journey,1,jogger,Jogger,"Official Polish Jogger MY26 price list supplied by the project owner; original SHA-256 verified, repository binary archive pending."
src_pl_sandero_stepway_price_my26_20260703,configuration_pdf,DACIA SANDERO I SANDERO STEPWAY cennik MY26,Dacia,PL,2026-07-03,https://cdn.group.renault.com/dac/pl/pdf/cenniki/sandero-stepway-price.pdf.asset.pdf/bd9f9519ce.pdf,PDF/Cenniki/DACIA SANDERO I SANDERO STEPWAY cennik MY26 20260703.pdf,5af2dbaf268480ec1e7e6d6e35fd2037b6fba3fb79972026e4f68c08055ba783,active,7,documents,7,sandero_iii_expression_ecog120_manual|sandero_iii_journey_ecog120_manual|sandero_stepway_iii_essential_ecog120_manual|sandero_stepway_iii_expression_ecog120_automatic|sandero_stepway_iii_expression_ecog120_manual|sandero_stepway_iii_extreme_ecog120_automatic|sandero_stepway_iii_extreme_ecog120_manual,5,sandero_iii_expression|sandero_iii_journey|sandero_stepway_iii_essential|sandero_stepway_iii_expression|sandero_stepway_iii_extreme,2,sandero_iii|sandero_stepway_iii,Sandero|Sandero Stepway,"Official Polish MY26 price list effective from 2026-07-03. Catalogue prices, equipment matrix, individual options, packages COMFORT, THERMO, ZIMOWY, MEDIA NAV LIVE and EASY, plus technical data."
