powertrain_label,transmission_type,configuration_count,model_count,version_count,model_codes,version_codes,configuration_codes
Eco-G 100 4x2,manual,4,1,4,duster_iii,duster_iii_essential|duster_iii_expression|duster_iii_extreme|duster_iii_journey,duster_iii_essential_ecog100_4x2_manual|duster_iii_expression_ecog100_4x2_manual|duster_iii_extreme_ecog100_4x2_manual|duster_iii_journey_ecog100_4x2_manual
Eco-G 120,automatic,8,3,6,jogger|sandero_iii|sandero_stepway_iii,jogger_extreme|jogger_journey|sandero_iii_expression|sandero_iii_journey|sandero_stepway_iii_expression|sandero_stepway_iii_extreme,jogger_extreme_5seat_ecog120_automatic|jogger_extreme_7seat_ecog120_automatic|jogger_journey_5seat_ecog120_automatic|jogger_journey_7seat_ecog120_automatic|sandero_iii_expression_ecog120_automatic|sandero_iii_journey_ecog120_automatic|sandero_stepway_iii_expression_ecog120_automatic|sandero_stepway_iii_extreme_ecog120_automatic
Eco-G 120,manual,11,3,8,jogger|sandero_iii|sandero_stepway_iii,jogger_essential|jogger_expression|jogger_extreme|sandero_iii_expression|sandero_iii_journey|sandero_stepway_iii_essential|sandero_stepway_iii_expression|sandero_stepway_iii_extreme,jogger_essential_5seat_ecog120_manual|jogger_essential_7seat_ecog120_manual|jogger_expression_5seat_ecog120_manual|jogger_expression_7seat_ecog120_manual|jogger_extreme_5seat_ecog120_manual|jogger_extreme_7seat_ecog120_manual|sandero_iii_expression_ecog120_manual|sandero_iii_journey_ecog120_manual|sandero_stepway_iii_essential_ecog120_manual|sandero_stepway_iii_expression_ecog120_manual|sandero_stepway_iii_extreme_ecog120_manual
Eco-G 120 4x2,automatic,3,1,3,duster_iii,duster_iii_expression|duster_iii_extreme|duster_iii_journey,duster_iii_expression_ecog120_4x2_automatic|duster_iii_extreme_ecog120_4x2_automatic|duster_iii_journey_ecog120_4x2_automatic
Eco-G 120 4x2,manual,4,1,4,duster_iii,duster_iii_essential|duster_iii_expression|duster_iii_extreme|duster_iii_journey,duster_iii_essential_ecog120_4x2_manual|duster_iii_expression_ecog120_4x2_manual|duster_iii_extreme_ecog120_4x2_manual|duster_iii_journey_ecog120_4x2_manual
electric 100,automatic,1,1,1,spring,spring_extreme,spring_extreme_electric100_automatic
electric 70,automatic,2,1,2,spring,spring_essential|spring_expression,spring_essential_electric70_automatic|spring_expression_electric70_automatic
hybrid 140 4x2,automatic,4,1,4,duster_iii,duster_iii_expression|duster_iii_extreme|duster_iii_journey|duster_iii_journey_plus,duster_iii_expression_hybrid140_4x2_automatic|duster_iii_extreme_hybrid140_4x2_automatic|duster_iii_journey_hybrid140_4x2_automatic|duster_iii_journey_plus_hybrid140_4x2_automatic
hybrid 155,automatic,6,1,3,jogger,jogger_expression|jogger_extreme|jogger_journey,jogger_expression_5seat_hybrid155_automatic|jogger_expression_7seat_hybrid155_automatic|jogger_extreme_5seat_hybrid155_automatic|jogger_extreme_7seat_hybrid155_automatic|jogger_journey_5seat_hybrid155_automatic|jogger_journey_7seat_hybrid155_automatic
hybrid 155 4x2,automatic,6,2,6,bigster|duster_iii,bigster_expression|bigster_extreme|bigster_journey|duster_iii_expression|duster_iii_extreme|duster_iii_journey,bigster_expression_hybrid155_4x2_automatic|bigster_extreme_hybrid155_4x2_automatic|bigster_journey_hybrid155_4x2_automatic|duster_iii_expression_hybrid155_4x2_automatic|duster_iii_extreme_hybrid155_4x2_automatic|duster_iii_journey_hybrid155_4x2_automatic
hybrid-G 150 4x4,automatic,6,2,6,bigster|duster_iii,bigster_expression|bigster_extreme|bigster_journey|duster_iii_expression|duster_iii_extreme|duster_iii_journey,bigster_expression_hybridg150_4x4_automatic|bigster_extreme_hybridg150_4x4_automatic|bigster_journey_hybridg150_4x4_automatic|duster_iii_expression_hybridg150_4x4_automatic|duster_iii_extreme_hybridg150_4x4_automatic|duster_iii_journey_hybridg150_4x4_automatic
mild hybrid 130 4x2,manual,3,1,3,duster_iii,duster_iii_expression|duster_iii_extreme|duster_iii_journey,duster_iii_expression_mildhybrid130_4x2_manual|duster_iii_extreme_mildhybrid130_4x2_manual|duster_iii_journey_mildhybrid130_4x2_manual
mild hybrid 130 4x4,manual,3,1,3,duster_iii,duster_iii_expression|duster_iii_extreme|duster_iii_journey,duster_iii_expression_mildhybrid130_4x4_manual|duster_iii_extreme_mildhybrid130_4x4_manual|duster_iii_journey_mildhybrid130_4x4_manual
mild hybrid 140 4x2,manual,7,2,7,bigster|duster_iii,bigster_essential|bigster_expression|bigster_extreme|bigster_journey|duster_iii_expression|duster_iii_extreme|duster_iii_journey,bigster_essential_mildhybrid140_4x2_manual|bigster_expression_mildhybrid140_4x2_manual|bigster_extreme_mildhybrid140_4x2_manual|bigster_journey_mildhybrid140_4x2_manual|duster_iii_expression_mildhybrid140_4x2_manual|duster_iii_extreme_mildhybrid140_4x2_manual|duster_iii_journey_mildhybrid140_4x2_manual
mild hybrid-G 140 4x2,manual,4,1,4,bigster,bigster_essential|bigster_expression|bigster_extreme|bigster_journey,bigster_essential_mildhybridg140_4x2_manual|bigster_expression_mildhybridg140_4x2_manual|bigster_extreme_mildhybridg140_4x2_manual|bigster_journey_mildhybridg140_4x2_manual
TCe 100,manual,3,1,3,sandero_iii,sandero_iii_essential|sandero_iii_expression|sandero_iii_journey,sandero_iii_essential_tce100_manual|sandero_iii_expression_tce100_manual|sandero_iii_journey_tce100_manual
TCe 110,manual,9,2,6,jogger|sandero_stepway_iii,jogger_expression|jogger_extreme|jogger_journey|sandero_stepway_iii_essential|sandero_stepway_iii_expression|sandero_stepway_iii_extreme,jogger_expression_5seat_tce110_manual|jogger_expression_7seat_tce110_manual|jogger_extreme_5seat_tce110_manual|jogger_extreme_7seat_tce110_manual|jogger_journey_5seat_tce110_manual|jogger_journey_7seat_tce110_manual|sandero_stepway_iii_essential_tce110_manual|sandero_stepway_iii_expression_tce110_manual|sandero_stepway_iii_extreme_tce110_manual
