source_id,source_code,source_type,title,document_date,file_path,coverage_state,audit_priority,audit_artifact,notes
1,src_pl_sandero_expression_ecog120_mt_20260626,configuration_pdf,NOWE SANDERO expression Eco-G 120 f.2,2026-06-26,PDF/Cenniki/NOWE SANDERO expression Eco-G 120 f.pdf,partial_review,3,,Previously used configuration PDF; complete page inventory not yet recorded.
2,src_pl_sandero_journey_ecog120_mt_20260626,configuration_pdf,NOWE SANDERO journey Eco-G 120 f.2,2026-06-26,PDF/Cenniki/NOWE SANDERO journey Eco-G 120 f.pdf,partial_review,3,,Previously used configuration PDF; complete page inventory not yet recorded.
3,src_pl_sandero_stepway_essential_ecog120_mt_20260626,configuration_pdf,NOWE SANDERO STEPWAY essential stepway Eco-G 120 f.2,2026-06-26,PDF/Cenniki/NOWE SANDERO STEPWAY essential stepway Eco-G 120 f.pdf,partial_review,3,,Previously used configuration PDF; complete page inventory not yet recorded.
4,src_pl_sandero_stepway_expression_ecog120_at_20260626,configuration_pdf,NOWE SANDERO STEPWAY expression stepway Eco-G 120 auto f.2,2026-06-26,PDF/Cenniki/NOWE SANDERO STEPWAY expression stepway Eco-G 120 auto f.pdf,partial_review,3,,Previously used configuration PDF; complete page inventory not yet recorded.
5,src_pl_sandero_stepway_expression_ecog120_mt_20260626,configuration_pdf,NOWE SANDERO STEPWAY expression stepway Eco-G 120 f.2,2026-06-26,PDF/Cenniki/NOWE SANDERO STEPWAY expression stepway Eco-G 120 f.pdf,partial_review,3,,Previously used configuration PDF; complete page inventory not yet recorded.
6,src_pl_sandero_stepway_extreme_ecog120_at_20260626,configuration_pdf,NOWE SANDERO STEPWAY extreme stepway Eco-G 120 auto f.2,2026-06-26,PDF/Cenniki/NOWE SANDERO STEPWAY extreme stepway Eco-G 120 auto f.pdf,partial_review,3,,Previously used configuration PDF; complete page inventory not yet recorded.
7,src_pl_sandero_stepway_extreme_ecog120_mt_20260626,configuration_pdf,NOWE SANDERO STEPWAY extreme stepway Eco-G 120 f.2,2026-06-26,PDF/Cenniki/NOWE SANDERO STEPWAY extreme stepway Eco-G 120 f.pdf,partial_review,3,,Previously used configuration PDF; complete page inventory not yet recorded.
8,src_pl_duster_price_my26_py25_20260206,configuration_pdf,DACIA DUSTER cennik MY26 PY25,2026-02-06,PDF/Cenniki/DACIA DUSTER cennik MY26 PY25.pdf,partial_review,2,,Price-list source used before complete-assimilation standard.
9,src_pl_jogger_price_my26_20260401,configuration_pdf,DACIA JOGGER cennik MY26,2026-04-01,PDF/Cenniki/DACIA JOGGER cennik MY26 20260401.pdf,partial_review,2,,Price-list source used before complete-assimilation standard.
10,src_pl_sandero_stepway_price_my26_20260703,configuration_pdf,DACIA SANDERO I SANDERO STEPWAY cennik MY26,2026-07-03,PDF/Cenniki/DACIA SANDERO I SANDERO STEPWAY cennik MY26 20260703.pdf,partial_review,1,,Commercial option matrix requires full table and footnote audit.
11,src_pl_duster_price_my26_20260703,configuration_pdf,DACIA DUSTER cennik MY26,2026-07-03,PDF/Cenniki/DACIA DUSTER cennik MY26 20260703.pdf,partial_review,1,,Commercial option matrix requires full table and footnote audit.
12,src_pl_jogger_price_my26_20260703,configuration_pdf,DACIA JOGGER cennik MY26,2026-07-03,PDF/Cenniki/DACIA JOGGER cennik MY26 20260703.pdf,partial_review,1,,Commercial option matrix requires full table and footnote audit.
13,src_pl_bigster_price_my26_20260703,configuration_pdf,DACIA BIGSTER cennik MY26,2026-07-03,PDF/Cenniki/DACIA BIGSTER cennik MY26 20260703.pdf,partial_review,1,,Commercial option matrix requires full table and footnote audit.
23,src_pl_bigster_brochure_20251210,brochure_pdf,DACIA BIGSTER broszura,2025-12-10,PDF/Broszury/DACIA BIGSTER broszura 20251210.pdf,registered,2,,Source notes explicitly state registration only.
24,src_pl_jogger_brochure_20251217,brochure_pdf,DACIA JOGGER broszura,2025-12-17,PDF/Broszury/DACIA JOGGER broszura 20251217.pdf,registered,2,,Source notes explicitly state registration only.
25,src_pl_sandero_brochure_20260202,brochure_pdf,DACIA SANDERO broszura,2026-02-02,PDF/Broszury/DACIA SANDERO broszura 20260202.pdf,partial_review,2,,A normalized technical slice exists but does not establish complete brochure assimilation.
26,src_pl_sandero_stepway_brochure_20260202,brochure_pdf,DACIA SANDERO STEPWAY broszura,2026-02-02,PDF/Broszury/DACIA SANDERO STEPWAY broszura 20260202.pdf,partial_review,2,,A normalized technical slice exists but does not establish complete brochure assimilation.
27,src_pl_duster_mini_brochure_20251020,brochure_pdf,DACIA DUSTER mini broszura,2025-10-20,PDF/Broszury/DACIA DUSTER mini broszura 20251020.pdf,partial_review,2,,Powertrain applicability boundary recorded; complete page inventory absent.
31,src_pl_spring_brochure_20260219,brochure_pdf,DACIA SPRING broszura,2026-02-19,PDF/Broszury/DACIA SPRING broszura 20260219.pdf,partial_review,1,,Source registered only before Spring packages; full brochure audit required.
32,src_pl_spring_price_my25_stock_20260708,configuration_pdf,DACIA SPRING cennik MY25 stock,2026-07-08,PDF/Cenniki/DACIA SPRING cennik MY25 stock 20260708.pdf,partial_review,1,,Full matrix contains FlexiCharger evidence missed during prior bounded review.
36,src_pl_spring_saved_configurations_20260802,normalized_snapshot,Dacia Polska Spring exact saved configurations — Expression 70 and Extreme 100,2026-08-02,project/sources/dacia-pl-spring-saved-configurations-20260802.json,partial_review,1,,Underlying PDFs were reviewed for selected equipment but not sufficient for unselected option availability.
